	Age	AIDS	Total	Class	Race_1	Race_2	Race_3	Race_4
0	0	2555.0	14443382.0	1	0	0	0	1
1	1	55300.0	14704293.0	1	0	0	0	1
2	2	82334.0	16641977.0	1	0	0	0	1
3	3	38006.0	13888285.0	1	0	0	0	1
4	4	16068.0	21845911.0	1	0	0	0	1
5	0	2489.0	2367256.0	1	0	1	0	0
6	1	34204.0	2410019.0	1	0	1	0	0
7	2	51776.0	2727604.0	1	0	1	0	0
8	3	23896.0	2276276.0	1	0	1	0	0
9	4	10169.0	3580523.0	1	0	1	0	0
10	0	1363.0	1542563.0	1	0	0	1	0
11	1	20712.0	1570428.0	1	0	0	1	0
12	2	27200.0	1777374.0	1	0	0	1	0
13	3	11251.0	1483278.0	1	0	0	1	0
14	4	4674.0	2333158.0	1	0	0	1	0
15	0	38.0	699627.0	1	1	0	0	0
16	1	731.0	712265.0	1	1	0	0	0
17	2	1162.0	806125.0	1	1	0	0	0
18	3	560.0	672738.0	1	1	0	0	0
19	4	258.0	1058200.0	1	1	0	0	0
20	0	26.0	169115.0	1	0	0	0	0
21	1	390.0	172170.0	1	0	0	0	0
22	2	417.0	194858.0	1	0	0	0	0
23	3	140.0	162616.0	1	0	0	0	0
24	4	48.0	255790.0	1	0	0	0	0
25	0	490.0	14999423.0	0	0	0	0	1
26	1	4788.0	15270378.0	0	0	0	0	1
27	2	5377.0	17282659.0	0	0	0	0	1
28	3	2152.0	14422956.0	0	0	0	0	1
29	4	1790.0	22686934.0	0	0	0	0	1
30	0	1490.0	2458391.0	0	0	1	0	0
31	1	12280.0	2502800.0	0	0	1	0	0
32	2	15713.0	2832611.0	0	0	1	0	0
33	3	5788.0	2363908.0	0	0	1	0	0
34	4	2534.0	3718366.0	0	0	1	0	0
35	0	493.0	1601948.0	0	0	0	1	0
36	1	4660.0	1630887.0	0	0	0	1	0
37	2	5153.0	1845800.0	0	0	0	1	0
38	3	1944.0	1540381.0	0	0	0	1	0
39	4	910.0	2422980.0	0	0	0	1	0
40	0	6.0	726561.0	0	1	0	0	0
41	1	83.0	739686.0	0	1	0	0	0
42	2	106.0	837159.0	0	1	0	0	0
43	3	69.0	698637.0	0	1	0	0	0
44	4	55.0	1098938.0	0	1	0	0	0
45	0	3.0	175626.0	0	0	0	0	0
46	1	78.0	178798.0	0	0	0	0	0
47	2	77.0	202360.0	0	0	0	0	0
48	3	31.0	168876.0	0	0	0	0	0
49	4	14.0	265637.0	0	0	0	0	0
