	sepal-length	sepal-width	petal-length	petal-width	Class
0	6.7	3.0	5.2	2.3	2
1	6.0	2.2	5.0	1.5	2
2	6.2	2.8	4.8	1.8	2
3	7.7	3.8	6.7	2.2	2
4	7.2	3.0	5.8	1.6	2
5	5.5	2.4	3.8	1.1	1
6	6.0	2.7	5.1	1.6	1
7	5.5	2.5	4.0	1.3	1
8	5.6	2.9	3.6	1.3	1
9	5.7	2.9	4.2	1.3	1
10	5.0	3.2	1.2	0.2	0
11	4.9	3.1	1.5	0.1	0
12	5.3	3.7	1.5	0.2	0
13	4.8	3.1	1.6	0.2	0
14	5.0	3.3	1.4	0.2	0
15	6.3	3.4	5.6	2.4	2
16	7.1	3.0	5.9	2.1	2
17	6.3	2.8	5.1	1.5	2
18	6.3	2.9	5.6	1.8	2
19	5.8	2.7	5.1	1.9	2
20	5.2	2.7	3.9	1.4	1
21	5.6	3.0	4.1	1.3	1
22	6.9	3.1	4.9	1.5	1
23	6.2	2.9	4.3	1.3	1
24	6.5	2.8	4.6	1.5	1
25	5.0	3.0	1.6	0.2	0
26	5.5	3.5	1.3	0.2	0
27	5.1	3.5	1.4	0.3	0
28	5.7	3.8	1.7	0.3	0
29	5.5	4.2	1.4	0.2	0
30	6.7	3.1	5.6	2.4	2
31	5.8	2.8	5.1	2.4	2
32	6.4	3.1	5.5	1.8	2
33	7.9	3.8	6.4	2.0	2
34	6.8	3.0	5.5	2.1	2
35	6.0	3.4	4.5	1.6	1
36	6.7	3.1	4.7	1.5	1
37	5.7	2.8	4.1	1.3	1
38	6.7	3.1	4.4	1.4	1
39	5.9	3.0	4.2	1.5	1
40	5.1	3.8	1.9	0.4	0
41	4.9	3.1	1.5	0.1	0
42	5.4	3.9	1.3	0.4	0
43	5.1	3.5	1.4	0.2	0
44	4.8	3.4	1.9	0.2	0
45	6.3	3.3	6.0	2.5	2
46	6.7	3.3	5.7	2.5	2
47	6.3	2.7	4.9	1.8	2
48	6.9	3.2	5.7	2.3	2
49	4.9	2.5	4.5	1.7	2
50	7.0	3.2	4.7	1.4	1
51	6.6	2.9	4.6	1.3	1
52	6.4	2.9	4.3	1.3	1
53	6.3	2.5	4.9	1.5	1
54	5.7	2.6	3.5	1.0	1
55	5.4	3.4	1.5	0.4	0
56	5.0	3.5	1.3	0.3	0
57	4.5	2.3	1.3	0.3	0
58	5.1	3.8	1.5	0.3	0
59	4.4	3.0	1.3	0.2	0
60	6.9	3.1	5.1	2.3	2
61	7.3	2.9	6.3	1.8	2
62	6.1	2.6	5.6	1.4	2
63	7.4	2.8	6.1	1.9	2
64	7.2	3.6	6.1	2.5	2
65	5.9	3.2	4.8	1.8	1
66	6.1	2.8	4.7	1.2	1
67	6.3	3.3	4.7	1.6	1
68	5.8	2.6	4.0	1.2	1
69	6.0	2.2	4.0	1.0	1
70	4.6	3.6	1.0	0.2	0
71	4.7	3.2	1.6	0.2	0
72	5.1	3.8	1.6	0.2	0
73	4.4	3.2	1.3	0.2	0
74	4.8	3.0	1.4	0.3	0
75	5.6	2.8	4.9	2.0	2
76	7.6	3.0	6.6	2.1	2
77	6.5	3.0	5.5	1.8	2
78	5.9	3.0	5.1	1.8	2
79	6.3	2.5	5.0	1.9	2
80	6.1	2.8	4.0	1.3	1
81	6.6	3.0	4.4	1.4	1
82	5.8	2.7	4.1	1.0	1
83	5.0	2.0	3.5	1.0	1
84	5.5	2.6	4.4	1.2	1
85	4.6	3.4	1.4	0.3	0
86	5.4	3.4	1.7	0.2	0
87	4.7	3.2	1.3	0.2	0
88	5.2	4.1	1.5	0.1	0
89	5.0	3.4	1.5	0.2	0
90	6.5	3.2	5.1	2.0	2
91	6.8	3.2	5.9	2.3	2
92	5.7	2.5	5.0	2.0	2
93	6.4	2.8	5.6	2.2	2
94	7.7	2.6	6.9	2.3	2
95	6.3	2.3	4.4	1.3	1
96	6.1	3.0	4.6	1.4	1
97	5.8	2.7	3.9	1.2	1
98	6.2	2.2	4.5	1.5	1
99	5.0	2.3	3.3	1.0	1
100	5.2	3.4	1.4	0.2	0
