Description	Outer_Iteration	Inner_Iteration	Algorithm	Features
analcatdata_aids	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	AIDS,Total,Race_1,Race_2,Race_4,Race_3,Age
analcatdata_aids	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Total,Race_1,Age,Race_2,Race_4,Race_3,AIDS
analcatdata_aids	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Total,Race_1,Race_2,Race_4,Race_3,AIDS,Age
analcatdata_aids	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	AIDS,Race_2,Race_1,Total,Race_4,Age,Race_3
analcatdata_aids	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Total,Race_1,Age,Race_2,Race_4,Race_3,AIDS
analcatdata_aids	1	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Total,Race_1,Race_2,Race_4,AIDS,Race_3,Age
analcatdata_aids	1	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	Total,AIDS,Race_4,Race_2,Race_1,Race_3,Age
analcatdata_aids	1	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	Race_3,Race_2,Age,Race_4,AIDS,Total,Race_1
analcatdata_aids	1	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	Total,AIDS,Age,Race_1,Race_3,Race_2,Race_4
analcatdata_aids	1	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	Race_2,Total,Race_1,AIDS,Race_3,Age,Race_4
analcatdata_aids	1	2	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	AIDS,Race_1,Race_2,Age,Race_3,Race_4,Total
analcatdata_aids	1	2	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Total,Race_1,Age,Race_2,Race_4,Race_3,AIDS
analcatdata_aids	1	2	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Race_2,Race_1,Age,Total,Race_4,Race_3,AIDS
analcatdata_aids	1	2	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Race_2,Race_1,AIDS,Age,Race_4,Race_3,Total
analcatdata_aids	1	2	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Total,Race_1,Age,Race_2,Race_4,Race_3,AIDS
analcatdata_aids	1	2	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Race_1,Race_2,AIDS,Race_3,Race_4,Age,Total
analcatdata_aids	1	2	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	AIDS,Race_1,Total,Race_4,Race_2,Race_3,Age
analcatdata_aids	1	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	AIDS,Race_2,Total,Race_1,Race_3,Age,Race_4
analcatdata_aids	1	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	AIDS,Total,Age,Race_1,Race_2,Race_3,Race_4
analcatdata_aids	1	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	Race_2,Race_1,AIDS,Race_3,Total,Age,Race_4
analcatdata_aids	1	3	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	AIDS,Age,Race_1,Total,Race_4,Race_2,Race_3
analcatdata_aids	1	3	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Total,Race_1,Age,Race_2,Race_4,Race_3,AIDS
analcatdata_aids	1	3	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Age,Total,Race_1,Race_2,Race_4,Race_3,AIDS
analcatdata_aids	1	3	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	AIDS,Age,Race_1,Total,Race_2,Race_4,Race_3
analcatdata_aids	1	3	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Total,Race_1,Age,Race_2,Race_4,Race_3,AIDS
analcatdata_aids	1	3	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Age,AIDS,Race_1,Race_2,Race_4,Total,Race_3
analcatdata_aids	1	3	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	AIDS,Total,Race_1,Race_4,Race_3,Race_2,Age
analcatdata_aids	1	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	Race_3,AIDS,Age,Race_2,Race_4,Total,Race_1
analcatdata_aids	1	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	AIDS,Total,Age,Race_1,Race_3,Race_2,Race_4
analcatdata_aids	1	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	Race_1,AIDS,Race_2,Age,Total,Race_3,Race_4
analcatdata_aids	2	1	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	AIDS,Age,Total,Race_1,Race_4,Race_3,Race_2
analcatdata_aids	2	1	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Total,Race_1,Age,Race_2,Race_4,Race_3,AIDS
analcatdata_aids	2	1	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Total,Race_1,Race_3,Race_4,Race_2,AIDS,Age
analcatdata_aids	2	1	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	AIDS,Total,Age,Race_1,Race_4,Race_3,Race_2
analcatdata_aids	2	1	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Total,Race_1,Age,Race_2,Race_4,Race_3,AIDS
analcatdata_aids	2	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Total,AIDS,Age,Race_1,Race_3,Race_4,Race_2
analcatdata_aids	2	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	Total,AIDS,Race_3,Race_4,Race_1,Race_2,Age
analcatdata_aids	2	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	Race_3,Race_1,Age,AIDS,Race_4,Race_2,Total
analcatdata_aids	2	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	Total,AIDS,Age,Race_3,Race_1,Race_2,Race_4
analcatdata_aids	2	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	AIDS,Age,Race_1,Race_2,Total,Race_3,Race_4
analcatdata_aids	2	2	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	AIDS,Race_1,Race_3,Race_4,Total,Age,Race_2
analcatdata_aids	2	2	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Total,Race_1,Age,Race_2,Race_4,Race_3,AIDS
analcatdata_aids	2	2	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Race_1,AIDS,Race_4,Race_3,Total,Race_2,Age
analcatdata_aids	2	2	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	AIDS,Race_1,Race_3,Race_2,Total,Race_4,Age
analcatdata_aids	2	2	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Total,Race_1,Age,Race_2,Race_4,Race_3,AIDS
analcatdata_aids	2	2	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	AIDS,Race_1,Race_3,Race_4,Age,Total,Race_2
analcatdata_aids	2	2	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	AIDS,Race_1,Race_3,Race_4,Race_2,Total,Age
analcatdata_aids	2	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	AIDS,Race_1,Age,Race_3,Race_4,Race_2,Total
analcatdata_aids	2	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	AIDS,Total,Age,Race_1,Race_3,Race_2,Race_4
analcatdata_aids	2	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	Race_1,AIDS,Race_4,Race_2,Total,Age,Race_3
analcatdata_aids	2	3	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	AIDS,Race_4,Total,Race_3,Race_1,Age,Race_2
analcatdata_aids	2	3	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	AIDS,Race_1,Age,Total,Race_4,Race_3,Race_2
analcatdata_aids	2	3	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	AIDS,Race_4,Total,Race_3,Race_1,Age,Race_2
analcatdata_aids	2	3	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	AIDS,Race_4,Total,Race_3,Race_2,Age,Race_1
analcatdata_aids	2	3	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	AIDS,Race_1,Age,Total,Race_4,Race_3,Race_2
analcatdata_aids	2	3	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	AIDS,Race_4,Total,Race_3,Race_1,Age,Race_2
analcatdata_aids	2	3	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	AIDS,Race_3,Race_2,Race_4,Race_1,Age,Total
analcatdata_aids	2	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	AIDS,Age,Total,Race_3,Race_4,Race_2,Race_1
analcatdata_aids	2	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	AIDS,Total,Age,Race_4,Race_1,Race_3,Race_2
analcatdata_aids	2	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	AIDS,Race_2,Race_4,Race_3,Total,Race_1,Age
analcatdata_aids	3	1	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Race_2,AIDS,Race_4,Age,Total,Race_3,Race_1
analcatdata_aids	3	1	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Race_2,Race_1,Age,Total,Race_4,Race_3,AIDS
analcatdata_aids	3	1	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Race_2,Age,AIDS,Race_4,Total,Race_1,Race_3
analcatdata_aids	3	1	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Race_2,AIDS,Race_4,Total,Age,Race_1,Race_3
analcatdata_aids	3	1	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Race_2,Race_1,Age,Total,Race_4,Race_3,AIDS
analcatdata_aids	3	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Race_2,AIDS,Race_4,Age,Total,Race_1,Race_3
analcatdata_aids	3	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	AIDS,Race_2,Age,Race_4,Race_3,Race_1,Total
analcatdata_aids	3	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	Race_2,AIDS,Race_1,Race_4,Total,Age,Race_3
analcatdata_aids	3	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	AIDS,Total,Age,Race_2,Race_4,Race_3,Race_1
analcatdata_aids	3	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	Race_2,Race_4,Age,AIDS,Race_1,Total,Race_3
analcatdata_aids	3	2	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Total,Age,Race_4,AIDS,Race_1,Race_2,Race_3
analcatdata_aids	3	2	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Total,Race_1,Age,Race_2,Race_4,Race_3,AIDS
analcatdata_aids	3	2	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Race_4,Race_1,Race_2,Age,Total,Race_3,AIDS
analcatdata_aids	3	2	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Race_4,AIDS,Total,Age,Race_2,Race_1,Race_3
