Feature_Selection_Algorithm	Feature	Mean_Rank
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	AIDS	1.3
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Race_1	3.7
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Age	4.0
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Total	4.4
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Race_4	4.8
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Race_2	4.9
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Race_3	4.9
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Total	1.6
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Race_1	2.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Age	3.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Race_2	4.2
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Race_4	5.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Race_3	6.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	AIDS	6.2
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Race_1	3.1
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Total	3.7
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	AIDS	4.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Age	4.1
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Race_4	4.2
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Race_2	4.3
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Race_3	4.5
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	AIDS	1.3
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Race_2	3.9
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Race_1	4.1
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Total	4.3
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Age	4.4
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Race_4	4.9
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Race_3	5.1
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Total	1.6
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Race_1	2.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Age	3.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Race_2	4.2
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Race_4	5.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Race_3	6.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	AIDS	6.2
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	AIDS	2.5
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Race_1	3.3
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Age	3.7
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Total	4.5
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Race_2	4.5
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Race_3	4.7
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Race_4	4.8
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	AIDS	1.3
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	Race_2	3.9
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	Race_4	3.9
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	Race_1	4.2
