Description	Iteration	Algorithm	Features
analcatdata_aids	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Race_1,AIDS,Race_2
analcatdata_aids	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Race_1,AIDS,Race_2
analcatdata_aids	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Race_1,AIDS,Race_2
analcatdata_aids	1	/AlgorithmScripts/Classification/tsv/keras/dnn	Race_1,AIDS,Race_2
analcatdata_aids	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	AIDS,Total,Race_1,Race_2,Race_4
analcatdata_aids	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	Race_1,AIDS,Race_2
analcatdata_aids	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	AIDS
analcatdata_aids	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	AIDS,Race_1,Age,Race_2,Total
analcatdata_aids	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	Race_1,AIDS,Race_2
analcatdata_aids	1	/AlgorithmScripts/Classification/tsv/sklearn/svm	Race_1,AIDS,Race_2
analcatdata_aids	2	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	AIDS,Total,Age
analcatdata_aids	2	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	AIDS
analcatdata_aids	2	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	AIDS
analcatdata_aids	2	/AlgorithmScripts/Classification/tsv/keras/dnn	AIDS,Total,Age,Race_1,Race_3
analcatdata_aids	2	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	AIDS
analcatdata_aids	2	/AlgorithmScripts/Classification/tsv/mlr/mlp	AIDS
analcatdata_aids	2	/AlgorithmScripts/Classification/tsv/mlr/xgboost	AIDS
analcatdata_aids	2	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	Race_1,AIDS,Race_2
analcatdata_aids	2	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	AIDS
analcatdata_aids	2	/AlgorithmScripts/Classification/tsv/sklearn/svm	Total,Race_1,Age
analcatdata_aids	3	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	AIDS,Total,Age
analcatdata_aids	3	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	AIDS
analcatdata_aids	3	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	AIDS
analcatdata_aids	3	/AlgorithmScripts/Classification/tsv/keras/dnn	AIDS
analcatdata_aids	3	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	AIDS,Age,Race_1,Race_2,Race_4
analcatdata_aids	3	/AlgorithmScripts/Classification/tsv/mlr/mlp	AIDS
analcatdata_aids	3	/AlgorithmScripts/Classification/tsv/mlr/xgboost	AIDS
analcatdata_aids	3	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	Race_1,AIDS,Race_2,Race_4,Race_3
analcatdata_aids	3	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	AIDS
analcatdata_aids	3	/AlgorithmScripts/Classification/tsv/sklearn/svm	AIDS,Age,Race_1,Race_4,Race_2
analcatdata_aids	4	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	AIDS
analcatdata_aids	4	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	AIDS
analcatdata_aids	4	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	AIDS
analcatdata_aids	4	/AlgorithmScripts/Classification/tsv/keras/dnn	AIDS
analcatdata_aids	4	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	AIDS,Race_2,Race_4
analcatdata_aids	4	/AlgorithmScripts/Classification/tsv/mlr/mlp	AIDS
analcatdata_aids	4	/AlgorithmScripts/Classification/tsv/mlr/xgboost	AIDS,Race_1,Age,Race_2,Total
analcatdata_aids	4	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	AIDS,Race_2,Race_4
analcatdata_aids	4	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	AIDS
analcatdata_aids	4	/AlgorithmScripts/Classification/tsv/sklearn/svm	AIDS,Race_1,Age,Total,Race_4
analcatdata_aids	5	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	AIDS,Total,Age
analcatdata_aids	5	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	AIDS
analcatdata_aids	5	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	AIDS
analcatdata_aids	5	/AlgorithmScripts/Classification/tsv/keras/dnn	Total
analcatdata_aids	5	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	AIDS
analcatdata_aids	5	/AlgorithmScripts/Classification/tsv/mlr/mlp	AIDS
analcatdata_aids	5	/AlgorithmScripts/Classification/tsv/mlr/xgboost	AIDS,Age,Race_1,Race_2,Total
analcatdata_aids	5	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	AIDS,Age,Race_1,Race_2,Total,Race_4,Race_3
analcatdata_aids	5	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	AIDS
analcatdata_aids	5	/AlgorithmScripts/Classification/tsv/sklearn/svm	Total,Race_1,Age
