Description	Iteration	Algorithm	Metric	Value
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	AUROC	0.988435219640343
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Accuracy	0.976440891880522
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	BalancedAccuracy	0.943585703582999
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Brier	0.0161396415649979
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	F1	0.81611542843604
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FDR	0.243328227041845
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FNR	0.100543964232489
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FPR	0.0122846286015127
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MCC	0.770532354110682
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MMCE	0.0235591081194783
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	NPV	0.912948588274959
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	PPV	0.756671772958155
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Recall	0.899456035767511
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TNR	0.987715371398487
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TPR	0.899456035767511
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	AUROC	0.981650056069424
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Accuracy	0.985415790211752
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	BalancedAccuracy	0.902648194728913
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Brier	0.0109235645771981
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	F1	0.898372210528247
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FDR	0.0666597288263318
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FNR	0.13148782911078
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FPR	0.0632157814313936
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MCC	0.847821451256581
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MMCE	0.0145842097882485
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	NPV	0.95990488990145
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	PPV	0.933340271173668
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Recall	0.86851217088922
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TNR	0.936784218568606
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TPR	0.86851217088922
