Description	Outer_Iteration	Inner_Iteration	Algorithm	Features
ann-thyroid	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A17,A21,A19,A18,A10,A3,A1,A16,A2,A7,A9,A20,A13,A14,A4,A6,A8,A5,A15,A11,A12
ann-thyroid	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A17,A21,A18,A19,A3,A10,A16,A20,A13,A11,A15,A14,A12,A9,A8,A6,A7,A5,A2,A4,A1
ann-thyroid	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A17,A18,A21,A19,A12,A15,A16,A10,A11,A14,A13,A9,A8,A5,A7,A6,A4,A2,A3,A20,A1
ann-thyroid	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A3,A1,A19,A21,A16,A17,A20,A6,A11,A14,A18,A4,A2,A8,A12,A10,A7,A5,A13,A9,A15
ann-thyroid	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A17,A21,A18,A19,A3,A10,A20,A16,A11,A13,A15,A14,A12,A9,A8,A6,A7,A5,A2,A4,A1
ann-thyroid	1	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	A17,A21,A19,A18,A3,A10,A20,A1,A16,A2,A8,A9,A6,A7,A13,A4,A11,A12,A14,A5,A15
ann-thyroid	1	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A17,A21,A3,A18,A19,A8,A20,A2,A1,A16,A5,A13,A7,A15,A14,A11,A9,A4,A12,A6,A10
ann-thyroid	1	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A17,A21,A18,A19,A1,A20,A3,A13,A6,A5,A7,A2,A9,A10,A15,A12,A11,A14,A8,A16,A4
ann-thyroid	1	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A17,A21,A3,A18,A19,A1,A20,A10,A8,A11,A2,A4,A5,A16,A6,A13,A14,A12,A9,A15,A7
ann-thyroid	1	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A21,A10,A19,A20,A8,A13,A3,A18,A2,A14,A9,A1,A17,A4,A5,A11,A6,A12,A16,A15,A7
ann-thyroid	1	2	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A17,A21,A19,A18,A10,A3,A16,A2,A1,A9,A7,A13,A20,A5,A6,A11,A4,A12,A8,A15,A14
