Feature_Selection_Algorithm	Feature	Mean_Rank
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A17	1.0
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A21	2.0
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A19	3.0
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A18	4.0
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A10	5.3
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A3	5.7
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A2	7.6
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A16	8.9
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A1	9.2
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A7	10.5
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A20	11.1
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A13	12.3
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A9	14.3
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A4	15.8
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A8	15.9
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A5	16.5
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A6	16.6
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A11	16.8
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A14	17.0
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A12	17.9
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A15	19.7
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A17	1.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A21	2.1
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A19	3.1
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A18	3.7
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A3	5.1
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A10	6.4
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A16	8.7
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A12	10.7
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A13	10.9
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A20	10.9
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A15	11.3
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A2	11.7
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A11	11.9
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A14	12.6
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A9	14.3
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A7	15.8
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A8	15.9
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A6	15.9
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A5	18.7
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A4	19.3
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A1	21.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A17	1.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A18	2.4
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A19	3.1
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A21	3.5
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A12	6.3
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A16	6.3
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A15	6.6
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A10	8.3
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A11	8.3
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A14	9.1
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A13	11.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A9	12.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A8	13.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A5	14.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A7	15.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A6	16.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A4	17.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A2	18.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A3	19.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A20	20.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A1	21.0
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A3	1.0
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A1	2.1
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A19	3.5
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A21	4.1
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A16	4.9
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A17	5.3
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A20	7.3
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A6	8.7
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A11	8.7
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A18	9.5
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A14	10.8
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A4	12.2
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A2	14.4
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A8	14.9
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A7	15.3
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A12	16.2
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A9	16.8
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A5	17.4
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A13	17.5
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A10	19.1
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A15	21.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A17	1.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A21	2.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A19	3.2
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A18	3.8
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A3	5.1
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A10	6.5
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A16	9.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A20	10.3
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A13	10.9
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A15	11.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A12	11.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A2	11.5
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A11	11.9
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A14	12.5
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A9	14.3
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A8	15.9
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A6	16.1
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A7	16.1
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A5	18.7
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A4	19.3
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A1	21.0
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	A17	1.0
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	A21	2.0
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	A19	3.0
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	A18	4.0
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	A3	5.5
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	A10	5.8
