Description	Iteration	Algorithm	Features
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	A17
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	A17,A19,A21,A18,A3
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	A17
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/keras/dnn	A17,A19,A21,A18,A3,A1,A20,A10,A8,A2
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	A17,A21,A3,A18,A19,A20,A8,A1,A16,A2
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	A3,A1,A16,A19,A21,A17,A20,A6,A18,A14,A11,A4,A12,A8,A7,A2,A13,A5,A9,A10
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	A3,A1,A16,A19,A21,A17,A20,A6,A18,A14,A11,A4,A12,A8,A7,A2,A13,A5,A9,A10,A15
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	A21,A5,A9,A13,A16,A11,A19,A10,A20,A6,A8,A18,A2,A14,A3,A12,A17,A1,A4,A15
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	A17
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/sklearn/svm	A17,A21,A3,A18,A19,A20,A8,A1,A16,A2
ann-thyroid	2	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	A17
ann-thyroid	2	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	A17,A3,A21
ann-thyroid	2	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	A17,A21,A19,A18,A6,A3,A20,A12,A13,A4,A11,A1,A16,A14,A10,A2,A9,A15,A8,A7
ann-thyroid	2	/AlgorithmScripts/Classification/tsv/keras/dnn	A17,A21,A19,A18,A3,A13,A7,A8,A10,A16,A20,A2,A11,A14,A12
ann-thyroid	2	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	A17,A21,A19,A18,A3,A20,A10,A16,A7,A13,A8,A2,A11,A12,A14
ann-thyroid	2	/AlgorithmScripts/Classification/tsv/mlr/mlp	A17,A21,A19,A18,A3,A13,A7,A8,A10,A16,A20,A2,A11,A14,A12,A9,A15,A6,A5,A4,A1
ann-thyroid	2	/AlgorithmScripts/Classification/tsv/mlr/xgboost	A17,A21,A19,A18,A3,A20,A10,A16,A7,A13,A8,A2,A11,A12,A14
ann-thyroid	2	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	A17,A3,A21,A19,A18,A8,A20,A1,A2,A16,A5,A13,A6,A9,A4
ann-thyroid	2	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	A17
ann-thyroid	2	/AlgorithmScripts/Classification/tsv/sklearn/svm	A17,A3,A21,A19,A18,A8,A20,A1,A2,A16
ann-thyroid	3	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	A17
ann-thyroid	3	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	A17,A21,A3
ann-thyroid	3	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	A17,A19,A21,A18,A3
ann-thyroid	3	/AlgorithmScripts/Classification/tsv/keras/dnn	A3,A1,A19,A21,A16,A17,A20,A6,A18,A14,A11,A4,A9,A8,A7
ann-thyroid	3	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	A17,A18,A19,A21,A12,A16,A15,A11,A14,A10,A13,A9,A8,A5,A7,A6,A4,A2,A3,A20
ann-thyroid	3	/AlgorithmScripts/Classification/tsv/mlr/mlp	A17,A19,A21,A18,A3,A20,A8,A1,A9,A10
ann-thyroid	3	/AlgorithmScripts/Classification/tsv/mlr/xgboost	A17,A21,A3,A19,A18,A8,A20,A2,A1,A9
ann-thyroid	3	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	A17,A19,A21,A18,A3,A20,A8,A1,A9,A10,A2,A11,A5,A14,A6,A13,A16,A12,A4,A15,A7
ann-thyroid	3	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	A17
ann-thyroid	3	/AlgorithmScripts/Classification/tsv/sklearn/svm	A17,A21,A3,A19,A18,A8,A20,A1,A5,A2
ann-thyroid	4	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	A17
ann-thyroid	4	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	A17,A21,A3
ann-thyroid	4	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	A17,A21,A19,A18,A20,A15,A3,A7,A4,A2
ann-thyroid	4	/AlgorithmScripts/Classification/tsv/keras/dnn	A17,A21,A19,A18,A3,A10,A20,A7,A2,A8,A16,A11,A12,A14,A13
ann-thyroid	4	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	A17,A21,A3,A18,A19,A8,A20,A2,A1,A16
ann-thyroid	4	/AlgorithmScripts/Classification/tsv/mlr/mlp	A17,A21,A19,A18,A3,A10,A20,A7,A2,A8,A16,A11,A12,A14,A13,A9,A15,A6,A5,A4
ann-thyroid	4	/AlgorithmScripts/Classification/tsv/mlr/xgboost	A3,A1,A21,A19,A16,A17,A20,A18,A6,A11,A14,A7,A4,A2,A8
ann-thyroid	4	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	A17,A21,A19,A18,A3,A10,A7,A8,A16,A20,A2,A11,A14,A12,A13,A9,A15,A6,A5,A4
ann-thyroid	4	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	A17
ann-thyroid	4	/AlgorithmScripts/Classification/tsv/sklearn/svm	A17,A19,A21,A18,A3
ann-thyroid	5	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	A17
ann-thyroid	5	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	A17,A21,A3
ann-thyroid	5	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	A17
ann-thyroid	5	/AlgorithmScripts/Classification/tsv/keras/dnn	A17,A21,A3,A18,A19,A20,A8,A2,A1,A6
ann-thyroid	5	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	A17,A21,A3,A18,A19,A20,A8,A2,A1,A16
ann-thyroid	5	/AlgorithmScripts/Classification/tsv/mlr/mlp	A21,A16,A5,A11,A19,A2,A3,A14,A8,A20,A6,A10,A18,A1,A13,A17,A9,A12,A4,A15
ann-thyroid	5	/AlgorithmScripts/Classification/tsv/mlr/xgboost	A17,A19,A21,A18,A3,A1,A20,A10,A8,A2
ann-thyroid	5	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	A17,A21,A19,A18,A3,A10,A7,A8,A20,A6
ann-thyroid	5	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	A17
ann-thyroid	5	/AlgorithmScripts/Classification/tsv/sklearn/svm	A17,A21,A3,A18,A19,A20,A8,A2,A1,A6,A5,A16,A7,A13,A15
