Description	Iteration	Algorithm	Metric	Value
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	AUROC	0.629439011837365
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Accuracy	0.697916666666667
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	BalancedAccuracy	0.5
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Brier	0.198045052083333
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	F1	0.822085889570552
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FDR	0.302083333333333
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FNR	0
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FPR	1
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MCC	0
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MMCE	0.302083333333333
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	NPV	NA
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	PPV	0.697916666666667
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Recall	1
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TNR	0
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TPR	1
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	AUROC	0.652856407617087
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Accuracy	0.739583333333333
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	BalancedAccuracy	0.647195059186825
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Brier	0.195456104166667
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	F1	0.825174825174825
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FDR	0.223684210526316
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FNR	0.119402985074627
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FPR	0.586206896551724
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MCC	0.332841778941633
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MMCE	0.260416666666667
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	NPV	0.6
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	PPV	0.776315789473684
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Recall	0.880597014925373
