Feature_Selection_Algorithm	Feature	Mean_Rank
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	deg-malig	1.3
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	inv-nodes	2.9
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	node-caps	3.1
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	irradiat	4.2
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	age	7.5
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	breast	8.2
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	tumor-size	8.4
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	menopause_1	8.9
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	menopause_2	9.5
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	breast-quad_5	9.5
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	breast-quad_1	9.5
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	breast-quad_3	10.4
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	breast-quad_4	10.5
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	breast-quad_2	11.2
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	deg-malig	1.5
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	tumor-size	4.1
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	breast-quad_3	4.9
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	breast-quad_2	5.5
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	breast	6.4
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	inv-nodes	6.5
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	breast-quad_4	6.5
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	breast-quad_1	6.6
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	node-caps	7.3
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	breast-quad_5	8.8
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	irradiat	9.5
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	menopause_2	11.4
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	menopause_1	12.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	age	14.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	breast-quad_2	3.3
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	breast-quad_3	4.4
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	breast-quad_4	4.9
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	breast	5.8
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	breast-quad_1	5.8
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	deg-malig	6.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	breast-quad_5	7.8
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	tumor-size	7.9
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	age	8.3
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	node-caps	8.7
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	menopause_2	9.9
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	menopause_1	10.1
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	irradiat	11.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	inv-nodes	11.0
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	deg-malig	1.6
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	breast-quad_3	3.0
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	menopause_2	4.1
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	irradiat	4.8
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	breast	6.1
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	breast-quad_2	6.2
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	inv-nodes	6.6
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	breast-quad_1	8.3
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	node-caps	9.1
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	breast-quad_5	9.5
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	breast-quad_4	9.8
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	age	10.1
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	tumor-size	12.8
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	menopause_1	13.2
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	deg-malig	1.3
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	tumor-size	4.1
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	breast-quad_3	4.9
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	breast-quad_2	5.5
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	breast	6.4
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	breast-quad_4	6.5
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	inv-nodes	6.6
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	breast-quad_1	6.6
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	node-caps	7.3
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	breast-quad_5	8.8
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	irradiat	9.5
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	menopause_2	11.4
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	menopause_1	12.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	age	14.0
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	deg-malig	1.3
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	inv-nodes	2.7
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	node-caps	3.1
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	irradiat	4.3
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	tumor-size	7.6
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	age	7.7
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	breast	8.3
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	menopause_1	8.9
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	menopause_2	9.4
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	breast-quad_1	9.6
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	breast-quad_5	9.7
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	breast-quad_3	10.5
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	breast-quad_4	10.7
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	breast-quad_2	11.2
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	deg-malig	1.9
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	irradiat	4.2
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	node-caps	5.9
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	breast-quad_5	6.4
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	breast-quad_4	6.5
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	inv-nodes	6.9
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	breast	7.0
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	breast-quad_3	7.3
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	menopause_2	8.3
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	tumor-size	8.6
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	menopause_1	9.7
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	breast-quad_1	10.1
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	breast-quad_2	10.9
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	age	11.4
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	deg-malig	2.5
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	irradiat	5.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	tumor-size	6.3
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	menopause_2	6.5
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	breast-quad_5	7.0
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	node-caps	7.3
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	breast-quad_4	7.8
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	inv-nodes	7.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	breast-quad_1	8.1
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	breast	8.7
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	breast-quad_2	9.0
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	menopause_1	9.1
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	age	9.4
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	breast-quad_3	9.4
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	tumor-size	1.2
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	deg-malig	2.3
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	age	2.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	inv-nodes	3.5
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	breast	6.3
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	node-caps	7.3
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	irradiat	7.3
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	breast-quad_3	7.4
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	breast-quad_2	8.8
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	menopause_2	8.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	breast-quad_5	10.1
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	breast-quad_1	12.4
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	breast-quad_4	12.5
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	menopause_1	14.0
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	deg-malig	2.6
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	breast-quad_3	4.8
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	breast-quad_1	5.0
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	breast	6.0
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	node-caps	6.1
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	breast-quad_5	6.7
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	irradiat	7.3
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	breast-quad_2	8.2
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	breast-quad_4	8.8
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	menopause_1	9.1
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	menopause_2	9.1
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	inv-nodes	9.3
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	age	9.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	tumor-size	12.1
