Description	Iteration	Algorithm	Metric	Value
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	AUROC	0.985618149336345
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Accuracy	0.981182795698925
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	BalancedAccuracy	0.96683707431371
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Brier	0.0154602338709677
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	F1	0.930555555555556
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FDR	0.0643115942028985
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FNR	0.0555555555555556
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FPR	0.0107702958170248
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MCC	0.926128855696596
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MMCE	0.0188172043010753
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	NPV	0.989393939393939
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	PPV	0.935688405797101
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Recall	0.944444444444444
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TNR	0.989229704182975
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TPR	0.944444444444444
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	AUROC	0.993028079574085
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Accuracy	0.989247311827957
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	BalancedAccuracy	0.98076957154547
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Brier	0.00668464784946237
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	F1	0.967413864674139
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FDR	0.0321557971014493
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FNR	0.0320488555782673
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FPR	0.00641200133079273
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MCC	0.961227513600088
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MMCE	0.010752688172043
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	NPV	0.993369475836473
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	PPV	0.967844202898551
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Recall	0.967951144421733
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TNR	0.993587998669207
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TPR	0.967951144421733
dermatology	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	AUROC	0.998335068836838
dermatology	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Accuracy	0.989247311827957
dermatology	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	BalancedAccuracy	0.978119863013408
dermatology	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Brier	0.00937772715053764
dermatology	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	F1	0.964015151515151
dermatology	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FDR	0.0328502415458937
dermatology	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FNR	0.0373482726423903
dermatology	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FPR	0.00641200133079273
dermatology	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	MCC	0.958278025744826
dermatology	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	MMCE	0.010752688172043
dermatology	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	NPV	0.993762679020196
dermatology	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	PPV	0.967149758454106
dermatology	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Recall	0.96265172735761
dermatology	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	TNR	0.993587998669207
dermatology	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	TPR	0.96265172735761
dermatology	1	/AlgorithmScripts/Classification/tsv/keras/dnn	AUROC	0.996937727999284
dermatology	1	/AlgorithmScripts/Classification/tsv/keras/dnn	Accuracy	0.986559139784946
dermatology	1	/AlgorithmScripts/Classification/tsv/keras/dnn	BalancedAccuracy	0.965350539650447
dermatology	1	/AlgorithmScripts/Classification/tsv/keras/dnn	Brier	0.0411287962803671
dermatology	1	/AlgorithmScripts/Classification/tsv/keras/dnn	F1	0.95246343568712
dermatology	1	/AlgorithmScripts/Classification/tsv/keras/dnn	FDR	0.0302861389817912
dermatology	1	/AlgorithmScripts/Classification/tsv/keras/dnn	FNR	0.0606131341425459
dermatology	1	/AlgorithmScripts/Classification/tsv/keras/dnn	FPR	0.00868578655655991
dermatology	1	/AlgorithmScripts/Classification/tsv/keras/dnn	MCC	0.945582342675798
dermatology	1	/AlgorithmScripts/Classification/tsv/keras/dnn	MMCE	0.0134408602150538
dermatology	1	/AlgorithmScripts/Classification/tsv/keras/dnn	NPV	0.992321669230678
dermatology	1	/AlgorithmScripts/Classification/tsv/keras/dnn	PPV	0.969713861018209
dermatology	1	/AlgorithmScripts/Classification/tsv/keras/dnn	Recall	0.939386865857454
dermatology	1	/AlgorithmScripts/Classification/tsv/keras/dnn	TNR	0.99131421344344
dermatology	1	/AlgorithmScripts/Classification/tsv/keras/dnn	TPR	0.939386865857454
dermatology	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	AUROC	0.996795100703682
dermatology	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	Accuracy	0.986559139784946
dermatology	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	BalancedAccuracy	0.974336744951134
dermatology	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	Brier	0.0117433183242896
dermatology	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	F1	0.955865272938444
dermatology	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	FDR	0.0444444444444444
dermatology	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	FNR	0.0434173669467787
dermatology	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	FPR	0.00790914315095424
dermatology	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	MCC	0.948071444239528
dermatology	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	MMCE	0.0134408602150538
dermatology	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	NPV	0.992047653604257
dermatology	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	PPV	0.955555555555556
dermatology	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	Recall	0.956582633053221
dermatology	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	TNR	0.992090856849046
dermatology	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	TPR	0.956582633053221
dermatology	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	AUROC	0.998804675667563
dermatology	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	Accuracy	0.989247311827957
dermatology	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	BalancedAccuracy	0.979083815118764
