Description	Outer_Iteration	Inner_Iteration	Algorithm	Features
dermatology	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	thinning_of_the_suprapapillary_epidermis,elongation_of_the_rete_ridges,clubbing_of_the_rete_ridges,exocytosis,knee_and_elbow_involvement,band-like_infiltrate,polygonal_papules,vacuolisation_and_damage_of_basal_layer,saw-tooth_appearance_of_retes,scalp_involvement,melanin_incontinence,oral_mucosal_involvement,focal_hypergranulosis,spongiosis,PNL_infiltrate,munro_microabcess,definite_borders,fibrosis_of_the_papillary_dermis,parakeratosis,disappearance_of_the_granular_layer,itching,spongiform_pustule,scaling,family_history,koebner_phenomenon,eosinophils_in_the_infiltrate,acanthosis,hyperkeratosis,follicular_papules,perifollicular_parakeratosis,follicular_horn_plug,erythema,inflammatory_monoluclear_inflitrate,Age
dermatology	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	perifollicular_parakeratosis,follicular_horn_plug,thinning_of_the_suprapapillary_epidermis,oral_mucosal_involvement,polygonal_papules,vacuolisation_and_damage_of_basal_layer,band-like_infiltrate,fibrosis_of_the_papillary_dermis,focal_hypergranulosis,melanin_incontinence,saw-tooth_appearance_of_retes,elongation_of_the_rete_ridges,clubbing_of_the_rete_ridges,knee_and_elbow_involvement,follicular_papules,exocytosis,spongiosis,munro_microabcess,scalp_involvement,PNL_infiltrate,koebner_phenomenon,spongiform_pustule,family_history,disappearance_of_the_granular_layer,eosinophils_in_the_infiltrate,definite_borders,itching,parakeratosis,acanthosis,hyperkeratosis,erythema,inflammatory_monoluclear_inflitrate,scaling,Age
dermatology	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	elongation_of_the_rete_ridges,thinning_of_the_suprapapillary_epidermis,vacuolisation_and_damage_of_basal_layer,saw-tooth_appearance_of_retes,focal_hypergranulosis,oral_mucosal_involvement,band-like_infiltrate,polygonal_papules,melanin_incontinence,clubbing_of_the_rete_ridges,exocytosis,spongiosis,knee_and_elbow_involvement,fibrosis_of_the_papillary_dermis,PNL_infiltrate,parakeratosis,scalp_involvement,munro_microabcess,itching,eosinophils_in_the_infiltrate,perifollicular_parakeratosis,follicular_horn_plug,follicular_papules,definite_borders,acanthosis,scaling,spongiform_pustule,erythema,disappearance_of_the_granular_layer,family_history,inflammatory_monoluclear_inflitrate,koebner_phenomenon,Age,hyperkeratosis
dermatology	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	elongation_of_the_rete_ridges,band-like_infiltrate,thinning_of_the_suprapapillary_epidermis,spongiosis,clubbing_of_the_rete_ridges,polygonal_papules,vacuolisation_and_damage_of_basal_layer,saw-tooth_appearance_of_retes,melanin_incontinence,exocytosis,oral_mucosal_involvement,focal_hypergranulosis,itching,knee_and_elbow_involvement,fibrosis_of_the_papillary_dermis,PNL_infiltrate,koebner_phenomenon,perifollicular_parakeratosis,scalp_involvement,definite_borders,munro_microabcess,family_history,parakeratosis,follicular_papules,hyperkeratosis,disappearance_of_the_granular_layer,follicular_horn_plug,scaling,erythema,acanthosis,spongiform_pustule,eosinophils_in_the_infiltrate,inflammatory_monoluclear_inflitrate,Age
dermatology	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	elongation_of_the_rete_ridges,thinning_of_the_suprapapillary_epidermis,clubbing_of_the_rete_ridges,band-like_infiltrate,polygonal_papules,oral_mucosal_involvement,vacuolisation_and_damage_of_basal_layer,focal_hypergranulosis,saw-tooth_appearance_of_retes,melanin_incontinence,spongiosis,fibrosis_of_the_papillary_dermis,knee_and_elbow_involvement,exocytosis,scalp_involvement,PNL_infiltrate,munro_microabcess,koebner_phenomenon,perifollicular_parakeratosis,follicular_horn_plug,disappearance_of_the_granular_layer,follicular_papules,definite_borders,spongiform_pustule,itching,parakeratosis,family_history,eosinophils_in_the_infiltrate,acanthosis,hyperkeratosis,erythema,inflammatory_monoluclear_inflitrate,scaling,Age
dermatology	1	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	perifollicular_parakeratosis,follicular_horn_plug,vacuolisation_and_damage_of_basal_layer,oral_mucosal_involvement,polygonal_papules,fibrosis_of_the_papillary_dermis,band-like_infiltrate,thinning_of_the_suprapapillary_epidermis,focal_hypergranulosis,saw-tooth_appearance_of_retes,melanin_incontinence,clubbing_of_the_rete_ridges,elongation_of_the_rete_ridges,knee_and_elbow_involvement,spongiosis,exocytosis,follicular_papules,scalp_involvement,munro_microabcess,PNL_infiltrate,koebner_phenomenon,definite_borders,parakeratosis,itching,disappearance_of_the_granular_layer,spongiform_pustule,family_history,eosinophils_in_the_infiltrate,scaling,acanthosis,erythema,hyperkeratosis,inflammatory_monoluclear_inflitrate,Age
dermatology	1	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	thinning_of_the_suprapapillary_epidermis,fibrosis_of_the_papillary_dermis,elongation_of_the_rete_ridges,koebner_phenomenon,spongiosis,clubbing_of_the_rete_ridges,band-like_infiltrate,oral_mucosal_involvement,vacuolisation_and_damage_of_basal_layer,polygonal_papules,PNL_infiltrate,focal_hypergranulosis,disappearance_of_the_granular_layer,saw-tooth_appearance_of_retes,itching,melanin_incontinence,perifollicular_parakeratosis,follicular_horn_plug,knee_and_elbow_involvement,exocytosis,eosinophils_in_the_infiltrate,follicular_papules,scaling,scalp_involvement,erythema,munro_microabcess,definite_borders,family_history,inflammatory_monoluclear_inflitrate,hyperkeratosis,parakeratosis,Age,acanthosis,spongiform_pustule
dermatology	1	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	elongation_of_the_rete_ridges,thinning_of_the_suprapapillary_epidermis,clubbing_of_the_rete_ridges,band-like_infiltrate,exocytosis,spongiosis,focal_hypergranulosis,polygonal_papules,saw-tooth_appearance_of_retes,oral_mucosal_involvement,vacuolisation_and_damage_of_basal_layer,knee_and_elbow_involvement,fibrosis_of_the_papillary_dermis,scalp_involvement,PNL_infiltrate,melanin_incontinence,munro_microabcess,follicular_papules,perifollicular_parakeratosis,koebner_phenomenon,itching,parakeratosis,disappearance_of_the_granular_layer,definite_borders,spongiform_pustule,scaling,family_history,follicular_horn_plug,eosinophils_in_the_infiltrate,inflammatory_monoluclear_inflitrate,hyperkeratosis,acanthosis,Age,erythema
dermatology	1	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	Age,clubbing_of_the_rete_ridges,fibrosis_of_the_papillary_dermis,thinning_of_the_suprapapillary_epidermis,band-like_infiltrate,koebner_phenomenon,oral_mucosal_involvement,elongation_of_the_rete_ridges,knee_and_elbow_involvement,spongiosis,PNL_infiltrate,polygonal_papules,vacuolisation_and_damage_of_basal_layer,exocytosis,itching,saw-tooth_appearance_of_retes,disappearance_of_the_granular_layer,follicular_horn_plug,melanin_incontinence,focal_hypergranulosis,perifollicular_parakeratosis,scalp_involvement,eosinophils_in_the_infiltrate,munro_microabcess,scaling,definite_borders,follicular_papules,parakeratosis,acanthosis,erythema,hyperkeratosis,family_history,inflammatory_monoluclear_inflitrate,spongiform_pustule
dermatology	1	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	fibrosis_of_the_papillary_dermis,disappearance_of_the_granular_layer,koebner_phenomenon,thinning_of_the_suprapapillary_epidermis,band-like_infiltrate,perifollicular_parakeratosis,spongiosis,PNL_infiltrate,elongation_of_the_rete_ridges,exocytosis,itching,parakeratosis,scaling,eosinophils_in_the_infiltrate,follicular_papules,polygonal_papules,clubbing_of_the_rete_ridges,hyperkeratosis,saw-tooth_appearance_of_retes,Age,definite_borders,focal_hypergranulosis,acanthosis,follicular_horn_plug,knee_and_elbow_involvement,munro_microabcess,oral_mucosal_involvement,spongiform_pustule,melanin_incontinence,scalp_involvement,vacuolisation_and_damage_of_basal_layer,erythema,family_history,inflammatory_monoluclear_inflitrate
