Description	Iteration	Algorithm	Features
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	fibrosis_of_the_papillary_dermis,elongation_of_the_rete_ridges,thinning_of_the_suprapapillary_epidermis,clubbing_of_the_rete_ridges,koebner_phenomenon,spongiosis,vacuolisation_and_damage_of_basal_layer,disappearance_of_the_granular_layer,oral_mucosal_involvement,band-like_infiltrate,focal_hypergranulosis,saw-tooth_appearance_of_retes,itching,knee_and_elbow_involvement,PNL_infiltrate,perifollicular_parakeratosis,melanin_incontinence,polygonal_papules,follicular_horn_plug,follicular_papules
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	perifollicular_parakeratosis,vacuolisation_and_damage_of_basal_layer,saw-tooth_appearance_of_retes,focal_hypergranulosis,melanin_incontinence,oral_mucosal_involvement,polygonal_papules,fibrosis_of_the_papillary_dermis,follicular_horn_plug,thinning_of_the_suprapapillary_epidermis,band-like_infiltrate,clubbing_of_the_rete_ridges,elongation_of_the_rete_ridges,knee_and_elbow_involvement,follicular_papules,exocytosis,spongiosis,munro_microabcess,scalp_involvement,PNL_infiltrate,koebner_phenomenon,definite_borders,disappearance_of_the_granular_layer,parakeratosis,itching,spongiform_pustule,scaling,family_history,eosinophils_in_the_infiltrate,acanthosis,erythema,inflammatory_monoluclear_inflitrate,hyperkeratosis,Age
dermatology	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	elongation_of_the_rete_ridges,band-like_infiltrate,thinning_of_the_suprapapillary_epidermis,clubbing_of_the_rete_ridges,spongiosis,vacuolisation_and_damage_of_basal_layer,polygonal_papules,saw-tooth_appearance_of_retes,melanin_incontinence,exocytosis,focal_hypergranulosis,oral_mucosal_involvement,fibrosis_of_the_papillary_dermis,knee_and_elbow_involvement,itching,PNL_infiltrate,scalp_involvement,koebner_phenomenon,munro_microabcess,parakeratosis,definite_borders,disappearance_of_the_granular_layer,follicular_papules,hyperkeratosis,perifollicular_parakeratosis,scaling,family_history,follicular_horn_plug,spongiform_pustule,acanthosis,eosinophils_in_the_infiltrate,inflammatory_monoluclear_inflitrate,erythema,Age
dermatology	1	/AlgorithmScripts/Classification/tsv/keras/dnn	spongiosis,fibrosis_of_the_papillary_dermis,itching,perifollicular_parakeratosis,PNL_infiltrate,koebner_phenomenon,thinning_of_the_suprapapillary_epidermis,clubbing_of_the_rete_ridges,disappearance_of_the_granular_layer,elongation_of_the_rete_ridges,band-like_infiltrate,polygonal_papules,saw-tooth_appearance_of_retes,exocytosis,follicular_papules
dermatology	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	clubbing_of_the_rete_ridges,elongation_of_the_rete_ridges,koebner_phenomenon,vacuolisation_and_damage_of_basal_layer,fibrosis_of_the_papillary_dermis,knee_and_elbow_involvement,thinning_of_the_suprapapillary_epidermis,band-like_infiltrate,focal_hypergranulosis,spongiosis,follicular_horn_plug,oral_mucosal_involvement,saw-tooth_appearance_of_retes,PNL_infiltrate,disappearance_of_the_granular_layer,itching,Age,exocytosis,polygonal_papules,follicular_papules
dermatology	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	spongiosis,fibrosis_of_the_papillary_dermis,itching,perifollicular_parakeratosis,PNL_infiltrate,koebner_phenomenon,thinning_of_the_suprapapillary_epidermis,clubbing_of_the_rete_ridges,disappearance_of_the_granular_layer,elongation_of_the_rete_ridges,band-like_infiltrate,polygonal_papules,saw-tooth_appearance_of_retes,exocytosis,follicular_papules,knee_and_elbow_involvement,Age,definite_borders,spongiform_pustule,eosinophils_in_the_infiltrate
dermatology	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	spongiosis,fibrosis_of_the_papillary_dermis,itching,perifollicular_parakeratosis,PNL_infiltrate,koebner_phenomenon,thinning_of_the_suprapapillary_epidermis,clubbing_of_the_rete_ridges,disappearance_of_the_granular_layer,elongation_of_the_rete_ridges,band-like_infiltrate,polygonal_papules,saw-tooth_appearance_of_retes,exocytosis,follicular_papules
dermatology	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	fibrosis_of_the_papillary_dermis,thinning_of_the_suprapapillary_epidermis,elongation_of_the_rete_ridges,koebner_phenomenon,clubbing_of_the_rete_ridges,spongiosis,vacuolisation_and_damage_of_basal_layer,oral_mucosal_involvement,band-like_infiltrate,disappearance_of_the_granular_layer,saw-tooth_appearance_of_retes,itching,knee_and_elbow_involvement,focal_hypergranulosis,PNL_infiltrate,perifollicular_parakeratosis,melanin_incontinence,polygonal_papules,follicular_horn_plug,follicular_papules,exocytosis,eosinophils_in_the_infiltrate,scaling,munro_microabcess,parakeratosis,scalp_involvement,hyperkeratosis,definite_borders,spongiform_pustule,family_history,erythema,inflammatory_monoluclear_inflitrate,acanthosis,Age
dermatology	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	fibrosis_of_the_papillary_dermis,thinning_of_the_suprapapillary_epidermis,elongation_of_the_rete_ridges,koebner_phenomenon,clubbing_of_the_rete_ridges,spongiosis,vacuolisation_and_damage_of_basal_layer,band-like_infiltrate,oral_mucosal_involvement,disappearance_of_the_granular_layer,itching,saw-tooth_appearance_of_retes,focal_hypergranulosis,knee_and_elbow_involvement,PNL_infiltrate,perifollicular_parakeratosis,melanin_incontinence,polygonal_papules,follicular_horn_plug,follicular_papules
dermatology	1	/AlgorithmScripts/Classification/tsv/sklearn/svm	spongiosis,fibrosis_of_the_papillary_dermis,itching,perifollicular_parakeratosis,PNL_infiltrate,koebner_phenomenon,thinning_of_the_suprapapillary_epidermis,clubbing_of_the_rete_ridges,disappearance_of_the_granular_layer,elongation_of_the_rete_ridges,band-like_infiltrate,polygonal_papules,saw-tooth_appearance_of_retes,exocytosis,follicular_papules,knee_and_elbow_involvement,Age,definite_borders,spongiform_pustule,eosinophils_in_the_infiltrate
