Description	Iteration	Algorithm	Metric	Value
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	AUROC	0.810282601293837
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Accuracy	0.771653543307087
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	BalancedAccuracy	0.718147769833163
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Brier	0.168598385826772
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	F1	0.836158192090395
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FDR	0.216931216931217
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FNR	0.103030303030303
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FPR	0.460674157303371
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MCC	0.477012948550062
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MMCE	0.228346456692913
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	NPV	0.738461538461539
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	PPV	0.783068783068783
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Recall	0.896969696969697
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TNR	0.539325842696629
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TPR	0.896969696969697
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	AUROC	0.827374872318692
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Accuracy	0.775590551181102
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	BalancedAccuracy	0.736704119850187
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Brier	0.15453012992126
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	F1	0.833819241982507
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FDR	0.196629213483146
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FNR	0.133333333333333
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FPR	0.393258426966292
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MCC	0.493237389691781
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MMCE	0.224409448818898
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	NPV	0.710526315789474
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	PPV	0.803370786516854
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Recall	0.866666666666667
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TNR	0.606741573033708
