Feature_Selection_Algorithm	Feature	Mean_Rank
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A2	1.0
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A6	2.1
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A8	3.0
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A7	4.5
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A1	4.5
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A5	6.3
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A4	7.1
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A3	7.4
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A2	1.1
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A6	2.3
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A8	3.2
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A7	5.5
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A3	5.9
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A4	5.9
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A1	6.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A5	6.1
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A2	1.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A8	3.2
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A5	4.4
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A1	4.4
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A4	4.7
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A6	5.7
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A7	6.1
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A3	6.5
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A2	1.0
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A4	3.3
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A8	3.6
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A6	3.6
