Description	Iteration	Algorithm	Features
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	A2,A6,A7
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	A2,A6,A8
diabetes	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	A2,A6,A7
diabetes	1	/AlgorithmScripts/Classification/tsv/keras/dnn	A2,A6,A8,A5,A1,A7,A4,A3
diabetes	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	A2,A6,A7,A8,A3,A5,A1,A4
diabetes	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	A2,A6,A8,A7,A1,A5,A3,A4
diabetes	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	A2,A6,A7,A8,A3
diabetes	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	A2,A6,A7,A8,A3
diabetes	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	A2,A6,A4,A8,A7,A1,A5,A3
diabetes	1	/AlgorithmScripts/Classification/tsv/sklearn/svm	A2,A6,A8,A5,A1
diabetes	2	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	A2,A8,A6
diabetes	2	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	A2,A6,A8
diabetes	2	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	A2,A6,A8,A7,A3
diabetes	2	/AlgorithmScripts/Classification/tsv/keras/dnn	A2,A6,A4,A8,A1,A7,A3,A5
diabetes	2	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	A2,A5,A1,A6,A4,A8,A3,A7
diabetes	2	/AlgorithmScripts/Classification/tsv/mlr/mlp	A2,A6,A8,A7,A3
diabetes	2	/AlgorithmScripts/Classification/tsv/mlr/xgboost	A2,A8,A6,A5,A1
diabetes	2	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	A2,A6,A1,A8,A3,A5,A7,A4
diabetes	2	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	A2,A6,A8,A7,A3
diabetes	2	/AlgorithmScripts/Classification/tsv/sklearn/svm	A2,A8,A6
diabetes	3	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	A2,A6,A7,A8,A3
diabetes	3	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	A2,A6,A7,A8,A3
diabetes	3	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	A2,A6,A7,A8,A3
diabetes	3	/AlgorithmScripts/Classification/tsv/keras/dnn	A2,A6,A7,A8,A3
diabetes	3	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	A2,A6,A7,A8,A3
diabetes	3	/AlgorithmScripts/Classification/tsv/mlr/mlp	A2,A6,A7,A8,A3
diabetes	3	/AlgorithmScripts/Classification/tsv/mlr/xgboost	A2,A6,A7
diabetes	3	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	A2,A6,A7,A8,A3
diabetes	3	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	A2,A6,A7,A8,A3
diabetes	3	/AlgorithmScripts/Classification/tsv/sklearn/svm	A2,A6,A7,A8,A3
diabetes	4	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	A2,A6,A8,A1,A7
diabetes	4	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	A2,A6,A8
diabetes	4	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	A2,A6,A5,A8,A4,A1,A3,A7
diabetes	4	/AlgorithmScripts/Classification/tsv/keras/dnn	A2,A6,A1,A3,A4,A7,A5,A8
diabetes	4	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	A2,A6,A4,A1,A8,A7,A3,A5
diabetes	4	/AlgorithmScripts/Classification/tsv/mlr/mlp	A2,A6,A8
diabetes	4	/AlgorithmScripts/Classification/tsv/mlr/xgboost	A2,A6,A8,A1,A7
diabetes	4	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	A2
diabetes	4	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	A2,A6,A8,A1,A7,A3,A4,A5
diabetes	4	/AlgorithmScripts/Classification/tsv/sklearn/svm	A2,A6,A5,A8,A4
diabetes	5	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	A2,A1,A6
diabetes	5	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	A2,A6,A8,A7,A3
diabetes	5	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	A2,A1,A6,A8,A4
diabetes	5	/AlgorithmScripts/Classification/tsv/keras/dnn	A2,A6,A5,A8,A7
diabetes	5	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	A2,A6,A7,A8,A1
diabetes	5	/AlgorithmScripts/Classification/tsv/mlr/mlp	A2,A6,A8,A1,A5
diabetes	5	/AlgorithmScripts/Classification/tsv/mlr/xgboost	A2,A1,A6
diabetes	5	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	A2,A6,A7,A8,A3,A5,A1,A4
diabetes	5	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	A2,A1,A6,A8,A4
diabetes	5	/AlgorithmScripts/Classification/tsv/sklearn/svm	A2,A6,A7,A8,A1
