Description	Iteration	Algorithm	Metric	Value
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	AUROC	0.5
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Accuracy	0.788461538461538
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	BalancedAccuracy	0.5
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Brier	0.166792307692308
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	F1	NA
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FDR	NA
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FNR	1
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FPR	0
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MCC	0
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MMCE	0.211538461538462
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	NPV	0.788461538461538
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	PPV	NA
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Recall	0
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TNR	1
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TPR	0
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	AUROC	0.788248337028825
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Accuracy	0.788461538461538
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	BalancedAccuracy	0.633037694013304
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Brier	0.188793173076923
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	F1	0.421052631578947
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FDR	0.5
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FNR	0.636363636363636
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FPR	0.0975609756097561
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MCC	0.301176889295036
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MMCE	0.211538461538462
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	NPV	0.840909090909091
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	PPV	0.5
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Recall	0.363636363636364
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TNR	0.902439024390244
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TPR	0.363636363636364
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	AUROC	0.739467849223947
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Accuracy	0.769230769230769
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	BalancedAccuracy	0.587583148558758
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Brier	0.151803788461538
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	F1	0.333333333333333
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FDR	0.571428571428571
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FNR	0.727272727272727
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FPR	0.0975609756097561
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	MCC	0.209596267023312
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	MMCE	0.230769230769231
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	NPV	0.822222222222222
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	PPV	0.428571428571429
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Recall	0.272727272727273
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	TNR	0.902439024390244
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	TPR	0.272727272727273
hepatitis	1	/AlgorithmScripts/Classification/tsv/keras/dnn	AUROC	0.682926829268293
hepatitis	1	/AlgorithmScripts/Classification/tsv/keras/dnn	Accuracy	0.807692307692308
hepatitis	1	/AlgorithmScripts/Classification/tsv/keras/dnn	BalancedAccuracy	0.578713968957871
hepatitis	1	/AlgorithmScripts/Classification/tsv/keras/dnn	Brier	0.15686108661317
hepatitis	1	/AlgorithmScripts/Classification/tsv/keras/dnn	F1	0.285714285714286
hepatitis	1	/AlgorithmScripts/Classification/tsv/keras/dnn	FDR	0.333333333333333
hepatitis	1	/AlgorithmScripts/Classification/tsv/keras/dnn	FNR	0.818181818181818
hepatitis	1	/AlgorithmScripts/Classification/tsv/keras/dnn	FPR	0.024390243902439
hepatitis	1	/AlgorithmScripts/Classification/tsv/keras/dnn	MCC	0.275747389969426
hepatitis	1	/AlgorithmScripts/Classification/tsv/keras/dnn	MMCE	0.192307692307692
hepatitis	1	/AlgorithmScripts/Classification/tsv/keras/dnn	NPV	0.816326530612245
hepatitis	1	/AlgorithmScripts/Classification/tsv/keras/dnn	PPV	0.666666666666667
hepatitis	1	/AlgorithmScripts/Classification/tsv/keras/dnn	Recall	0.181818181818182
hepatitis	1	/AlgorithmScripts/Classification/tsv/keras/dnn	TNR	0.975609756097561
hepatitis	1	/AlgorithmScripts/Classification/tsv/keras/dnn	TPR	0.181818181818182
hepatitis	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	AUROC	0.770509977827051
