Description	Iteration	Algorithm	Features
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	ALBUMIN,BILIRUBIN,ASCITES,FATIGUE,AGE,MALAISE,VARICES,SPIDERS,HISTOLOGY,SPLEEN PALPABLE,SEX,ANTIVIRALS,ALK PHOSPHATE,ANOREXIA,PROTIME
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	ASCITES,LIVER BIG,SGOT,ANTIVIRALS,FATIGUE,ANOREXIA,STEROID,HISTOLOGY,ALK PHOSPHATE,ALBUMIN,MALAISE,SEX,PROTIME,BILIRUBIN,LIVER FIRM,SPLEEN PALPABLE,SPIDERS,VARICES,AGE
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	BILIRUBIN,ALBUMIN,AGE,ASCITES,MALAISE,FATIGUE,LIVER FIRM,LIVER BIG,SEX,ANOREXIA
hepatitis	1	/AlgorithmScripts/Classification/tsv/keras/dnn	ALBUMIN,ASCITES,BILIRUBIN,FATIGUE,VARICES,AGE,MALAISE,SPIDERS,SPLEEN PALPABLE,HISTOLOGY,SEX,ANOREXIA,ALK PHOSPHATE,PROTIME,SGOT,ANTIVIRALS,STEROID,LIVER FIRM,LIVER BIG
hepatitis	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	ASCITES,LIVER BIG,SGOT,ANTIVIRALS,FATIGUE,ANOREXIA,STEROID,HISTOLOGY,ALK PHOSPHATE,ALBUMIN,MALAISE,SEX,PROTIME,BILIRUBIN,LIVER FIRM,SPLEEN PALPABLE,SPIDERS,VARICES,AGE
hepatitis	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	BILIRUBIN,ALBUMIN,AGE,ASCITES,MALAISE,FATIGUE,LIVER FIRM,PROTIME,LIVER BIG,SEX,SPLEEN PALPABLE,ALK PHOSPHATE,HISTOLOGY,SGOT,ANTIVIRALS
hepatitis	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	ALBUMIN
hepatitis	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	ASCITES,LIVER BIG,SGOT
hepatitis	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	BILIRUBIN,ALBUMIN,AGE,ASCITES,MALAISE,FATIGUE,LIVER FIRM,LIVER BIG,VARICES,HISTOLOGY,SEX,ANOREXIA,PROTIME,ALK PHOSPHATE,ANTIVIRALS
hepatitis	1	/AlgorithmScripts/Classification/tsv/sklearn/svm	ALBUMIN,FATIGUE,PROTIME,BILIRUBIN,AGE,LIVER BIG,ASCITES,SPLEEN PALPABLE,LIVER FIRM,ANTIVIRALS,SPIDERS,MALAISE,SEX,STEROID,VARICES,HISTOLOGY,ALK PHOSPHATE,SGOT,ANOREXIA
hepatitis	2	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	ALBUMIN,BILIRUBIN,AGE,SGOT,ALK PHOSPHATE,SPIDERS,PROTIME,ASCITES,MALAISE,VARICES,LIVER BIG,LIVER FIRM,FATIGUE,HISTOLOGY,STEROID
hepatitis	2	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	ALBUMIN,PROTIME,ASCITES,SPIDERS,AGE,MALAISE,BILIRUBIN,FATIGUE,SEX,SPLEEN PALPABLE,ANTIVIRALS,SGOT,VARICES,HISTOLOGY,LIVER FIRM
hepatitis	2	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	MALAISE,HISTOLOGY,SPIDERS,BILIRUBIN,ASCITES
hepatitis	2	/AlgorithmScripts/Classification/tsv/keras/dnn	MALAISE,BILIRUBIN,ASCITES,SPIDERS,FATIGUE,ALBUMIN,VARICES,HISTOLOGY,AGE,ANOREXIA,SEX,STEROID,SPLEEN PALPABLE,LIVER BIG,ANTIVIRALS
hepatitis	2	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	MALAISE,HISTOLOGY,SPIDERS,BILIRUBIN,ASCITES,ALBUMIN,PROTIME,FATIGUE,ANTIVIRALS,LIVER FIRM,VARICES,SPLEEN PALPABLE,ANOREXIA,LIVER BIG,AGE
hepatitis	2	/AlgorithmScripts/Classification/tsv/mlr/mlp	ALBUMIN,PROTIME,ASCITES,SPIDERS,AGE,MALAISE,BILIRUBIN,FATIGUE,SEX,SPLEEN PALPABLE,ANTIVIRALS,SGOT,VARICES,HISTOLOGY,LIVER FIRM
hepatitis	2	/AlgorithmScripts/Classification/tsv/mlr/xgboost	ASCITES,SEX,FATIGUE,BILIRUBIN,LIVER BIG,MALAISE,SPLEEN PALPABLE,VARICES,AGE,STEROID
hepatitis	2	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	ALBUMIN
hepatitis	2	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	MALAISE,BILIRUBIN,ASCITES,SPIDERS,FATIGUE
hepatitis	2	/AlgorithmScripts/Classification/tsv/sklearn/svm	MALAISE,ASCITES,SPIDERS,BILIRUBIN,FATIGUE,ALBUMIN,VARICES,HISTOLOGY,AGE,ANOREXIA
hepatitis	3	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	ALBUMIN
hepatitis	3	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	ALBUMIN,ASCITES,BILIRUBIN,FATIGUE,SPIDERS,MALAISE,SEX,HISTOLOGY,VARICES,ANTIVIRALS
hepatitis	3	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	ALBUMIN,BILIRUBIN,SGOT,ALK PHOSPHATE,AGE,ASCITES,SPIDERS,PROTIME,MALAISE,LIVER FIRM,HISTOLOGY,LIVER BIG,FATIGUE,ANOREXIA,STEROID
hepatitis	3	/AlgorithmScripts/Classification/tsv/keras/dnn	BILIRUBIN,ASCITES,MALAISE,SPIDERS,FATIGUE,ALBUMIN,HISTOLOGY,ANOREXIA,VARICES,SEX,SPLEEN PALPABLE,AGE,LIVER BIG,STEROID,LIVER FIRM
hepatitis	3	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	ALBUMIN,ASCITES,BILIRUBIN,FATIGUE,SPIDERS,MALAISE,SEX,HISTOLOGY,VARICES,ANTIVIRALS,ALK PHOSPHATE,ANOREXIA,LIVER BIG,STEROID,LIVER FIRM,SPLEEN PALPABLE,SGOT,PROTIME,AGE
hepatitis	3	/AlgorithmScripts/Classification/tsv/mlr/mlp	ALBUMIN,ASCITES,PROTIME,BILIRUBIN,STEROID,FATIGUE,ANTIVIRALS,HISTOLOGY,ANOREXIA,ALK PHOSPHATE,MALAISE,SEX,SPLEEN PALPABLE,SPIDERS,SGOT
hepatitis	3	/AlgorithmScripts/Classification/tsv/mlr/xgboost	BILIRUBIN,ASCITES,SPIDERS,MALAISE,FATIGUE
hepatitis	3	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	SPIDERS,LIVER BIG,FATIGUE
hepatitis	3	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	BILIRUBIN,ASCITES,MALAISE,SPIDERS,FATIGUE,ALBUMIN,HISTOLOGY,ANOREXIA,VARICES,SEX,SPLEEN PALPABLE,AGE,LIVER BIG,STEROID,LIVER FIRM
hepatitis	3	/AlgorithmScripts/Classification/tsv/sklearn/svm	BILIRUBIN,ASCITES,SPIDERS,MALAISE,FATIGUE,ALBUMIN,HISTOLOGY,ANOREXIA,VARICES,AGE
hepatitis	4	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	ALBUMIN,BILIRUBIN,SGOT
hepatitis	4	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MALAISE,FATIGUE,HISTOLOGY,BILIRUBIN,ALBUMIN
hepatitis	4	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	BILIRUBIN
hepatitis	4	/AlgorithmScripts/Classification/tsv/keras/dnn	ALBUMIN,ASCITES,BILIRUBIN,VARICES,SPIDERS,MALAISE,FATIGUE,SEX,HISTOLOGY,ALK PHOSPHATE,ANTIVIRALS,ANOREXIA,LIVER BIG,STEROID,LIVER FIRM,SPLEEN PALPABLE,SGOT,PROTIME,AGE
hepatitis	4	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	ALBUMIN,BILIRUBIN,ASCITES,VARICES,SPIDERS,MALAISE,FATIGUE,HISTOLOGY,SEX,ALK PHOSPHATE,ANTIVIRALS,ANOREXIA,LIVER BIG,STEROID,LIVER FIRM,SPLEEN PALPABLE,SGOT,PROTIME,AGE
hepatitis	4	/AlgorithmScripts/Classification/tsv/mlr/mlp	ASCITES,PROTIME,ALBUMIN,VARICES,ANTIVIRALS,SEX,HISTOLOGY,STEROID,ANOREXIA,MALAISE,FATIGUE,BILIRUBIN,LIVER BIG,LIVER FIRM,SPLEEN PALPABLE,SPIDERS,SGOT,AGE,ALK PHOSPHATE
hepatitis	4	/AlgorithmScripts/Classification/tsv/mlr/xgboost	ALBUMIN
hepatitis	4	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	ALBUMIN,BILIRUBIN,SGOT,ALK PHOSPHATE,AGE
hepatitis	4	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	ASCITES,LIVER BIG,SEX,MALAISE,BILIRUBIN,ANOREXIA,SPLEEN PALPABLE,PROTIME,AGE,ALK PHOSPHATE
hepatitis	4	/AlgorithmScripts/Classification/tsv/sklearn/svm	BILIRUBIN,ASCITES,MALAISE,SPIDERS,VARICES,HISTOLOGY,ALBUMIN,FATIGUE,LIVER BIG,AGE,SEX,SPLEEN PALPABLE,ANOREXIA,LIVER FIRM,ANTIVIRALS
hepatitis	5	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	BILIRUBIN,ASCITES,ALBUMIN,SPIDERS,VARICES
hepatitis	5	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	BILIRUBIN,ASCITES,ALBUMIN,SPIDERS,VARICES
hepatitis	5	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	BILIRUBIN,ALBUMIN,SGOT,AGE,PROTIME
hepatitis	5	/AlgorithmScripts/Classification/tsv/keras/dnn	BILIRUBIN,ASCITES,SPIDERS,ALBUMIN,HISTOLOGY,VARICES,FATIGUE,MALAISE,LIVER BIG,SPLEEN PALPABLE,AGE,ANOREXIA,STEROID,SEX,ANTIVIRALS,LIVER FIRM,PROTIME,SGOT,ALK PHOSPHATE
