Description	Iteration	Algorithm	Metric	Value
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	AUROC	0.993079584775087
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Accuracy	0.96078431372549
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	BalancedAccuracy	0.955882352941177
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Brier	0.0254414640522876
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	F1	0.941125541125541
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FDR	0.0578703703703704
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FNR	0.0588235294117647
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FPR	0.0294117647058824
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MCC	0.912309673848641
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MMCE	0.0392156862745098
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	NPV	0.970851370851371
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	PPV	0.94212962962963
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Recall	0.941176470588235
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TNR	0.970588235294118
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TPR	0.941176470588235
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	AUROC	0.993079584775087
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Accuracy	0.973856209150327
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	BalancedAccuracy	0.970588235294118
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Brier	0.028220660130719
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	F1	0.960648148148148
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FDR	0.0350877192982456
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FNR	0.0392156862745098
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FPR	0.0196078431372549
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MCC	0.943511288219175
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MMCE	0.0261437908496732
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	NPV	0.981481481481482
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	PPV	0.964912280701754
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Recall	0.96078431372549
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TNR	0.980392156862745
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TPR	0.96078431372549
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	AUROC	0.993079584775087
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Accuracy	0.973856209150327
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	BalancedAccuracy	0.970588235294118
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Brier	0.022096091503268
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	F1	0.960648148148148
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FDR	0.0350877192982456
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FNR	0.0392156862745098
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FPR	0.0196078431372549
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	MCC	0.943511288219175
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	MMCE	0.0261437908496732
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	NPV	0.981481481481482
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	PPV	0.964912280701754
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Recall	0.96078431372549
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	TNR	0.980392156862745
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	TPR	0.96078431372549
iris	1	/AlgorithmScripts/Classification/tsv/keras/dnn	AUROC	0.97520184544406
iris	1	/AlgorithmScripts/Classification/tsv/keras/dnn	Accuracy	0.777777777777778
iris	1	/AlgorithmScripts/Classification/tsv/keras/dnn	BalancedAccuracy	0.75
iris	1	/AlgorithmScripts/Classification/tsv/keras/dnn	Brier	0.144951329382485
iris	1	/AlgorithmScripts/Classification/tsv/keras/dnn	F1	NA
iris	1	/AlgorithmScripts/Classification/tsv/keras/dnn	FDR	NA
iris	1	/AlgorithmScripts/Classification/tsv/keras/dnn	FNR	0.333333333333333
iris	1	/AlgorithmScripts/Classification/tsv/keras/dnn	FPR	0.166666666666667
iris	1	/AlgorithmScripts/Classification/tsv/keras/dnn	MCC	0.5
iris	1	/AlgorithmScripts/Classification/tsv/keras/dnn	MMCE	0.222222222222222
iris	1	/AlgorithmScripts/Classification/tsv/keras/dnn	NPV	0.888888888888889
iris	1	/AlgorithmScripts/Classification/tsv/keras/dnn	PPV	NA
iris	1	/AlgorithmScripts/Classification/tsv/keras/dnn	Recall	0.666666666666667
iris	1	/AlgorithmScripts/Classification/tsv/keras/dnn	TNR	0.833333333333333
iris	1	/AlgorithmScripts/Classification/tsv/keras/dnn	TPR	0.666666666666667
iris	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	AUROC	0.990196078431373
iris	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	Accuracy	0.96078431372549
iris	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	BalancedAccuracy	0.955882352941177
iris	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	Brier	0.0318067233204747
iris	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	F1	0.941125541125541
iris	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	FDR	0.0578703703703704
iris	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	FNR	0.0588235294117647
iris	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	FPR	0.0294117647058824
iris	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	MCC	0.912309673848641
iris	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	MMCE	0.0392156862745098
iris	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	NPV	0.970851370851371
iris	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	PPV	0.94212962962963
iris	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	Recall	0.941176470588235
iris	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	TNR	0.970588235294118
iris	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	TPR	0.941176470588235
iris	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	AUROC	0.995386389850058
iris	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	Accuracy	0.973856209150327
iris	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	BalancedAccuracy	0.970588235294118
iris	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	Brier	0.0223577148908512
iris	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	F1	0.960648148148148
iris	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	FDR	0.0350877192982456
iris	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	FNR	0.0392156862745098
iris	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	FPR	0.0196078431372549
iris	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	MCC	0.943511288219175
iris	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	MMCE	0.0261437908496732
iris	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	NPV	0.981481481481482
iris	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	PPV	0.964912280701754
iris	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	Recall	0.96078431372549
iris	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	TNR	0.980392156862745
iris	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	TPR	0.96078431372549
iris	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	AUROC	0.978085351787774
iris	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	Accuracy	0.96078431372549
iris	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	BalancedAccuracy	0.955882352941177
iris	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	Brier	0.0941671609201907
iris	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	F1	0.941125541125541
iris	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	FDR	0.0578703703703704
iris	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	FNR	0.0588235294117647
iris	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	FPR	0.0294117647058824
iris	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	MCC	0.912309673848641
iris	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	MMCE	0.0392156862745098
iris	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	NPV	0.970851370851371
iris	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	PPV	0.94212962962963
iris	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	Recall	0.941176470588235
iris	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	TNR	0.970588235294118
iris	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	TPR	0.941176470588235
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	AUROC	0.937716262975778
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	Accuracy	0.947712418300654
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	BalancedAccuracy	0.941176470588235
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	Brier	0.0570079883776325
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	F1	0.921296296296296
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	FDR	0.0748538011695906
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	FNR	0.0784313725490196
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	FPR	0.0392156862745098
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	MCC	0.884405290512845
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	MMCE	0.0522875816993464
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	NPV	0.961805555555556
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	PPV	0.925146198830409
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	Recall	0.92156862745098
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	TNR	0.96078431372549
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	TPR	0.92156862745098
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	AUROC	0.994232987312572
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	Accuracy	0.908496732026144
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	BalancedAccuracy	0.897058823529412
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	Brier	0.105817318635784
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	F1	0.852326685660019
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	FDR	0.110845295055821
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	FNR	0.137254901960784
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	FPR	0.0686274509803922
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	MCC	0.809312457379271
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	MMCE	0.0915032679738562
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	NPV	0.943089430894309
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	PPV	0.889154704944179
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	Recall	0.862745098039216
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	TNR	0.931372549019608
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	TPR	0.862745098039216
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/svm	AUROC	0.985005767012687
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/svm	Accuracy	0.96078431372549
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/svm	BalancedAccuracy	0.955882352941177
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/svm	Brier	0.0380975403140608
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/svm	F1	0.941125541125541
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/svm	FDR	0.0578703703703704
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/svm	FNR	0.0588235294117647
