Description	Outer_Iteration	Inner_Iteration	Algorithm	Features
iris	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	petal-length,petal-width,sepal-length,sepal-width
iris	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	petal-length,petal-width,sepal-length,sepal-width
iris	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	petal-width,petal-length,sepal-length,sepal-width
iris	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	petal-length,petal-width,sepal-length,sepal-width
iris	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	petal-length,petal-width,sepal-length,sepal-width
iris	1	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	petal-length,petal-width,sepal-length,sepal-width
iris	1	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	petal-length,petal-width,sepal-length,sepal-width
iris	1	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	petal-length,petal-width,sepal-length,sepal-width
iris	1	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	petal-length,petal-width,sepal-length,sepal-width
iris	1	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	petal-width,petal-length,sepal-length,sepal-width
iris	1	2	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	petal-length,petal-width,sepal-length,sepal-width
iris	1	2	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	petal-length,petal-width,sepal-length,sepal-width
iris	1	2	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	petal-width,petal-length,sepal-length,sepal-width
iris	1	2	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	petal-length,petal-width,sepal-length,sepal-width
iris	1	2	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	petal-width,petal-length,sepal-length,sepal-width
iris	1	2	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	petal-length,petal-width,sepal-length,sepal-width
iris	1	2	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	petal-length,petal-width,sepal-length,sepal-width
iris	1	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	petal-length,petal-width,sepal-length,sepal-width
iris	1	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	petal-length,petal-width,sepal-length,sepal-width
iris	1	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	petal-width,petal-length,sepal-length,sepal-width
iris	1	3	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	petal-length,petal-width,sepal-length,sepal-width
iris	1	3	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	petal-length,petal-width,sepal-length,sepal-width
iris	1	3	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	petal-width,petal-length,sepal-length,sepal-width
iris	1	3	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	petal-length,petal-width,sepal-length,sepal-width
iris	1	3	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	petal-width,petal-length,sepal-length,sepal-width
iris	1	3	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	petal-length,petal-width,sepal-length,sepal-width
iris	1	3	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	petal-length,petal-width,sepal-length,sepal-width
iris	1	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	petal-length,petal-width,sepal-length,sepal-width
iris	1	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	petal-length,petal-width,sepal-length,sepal-width
iris	1	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	petal-length,petal-width,sepal-length,sepal-width
iris	2	1	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	petal-length,petal-width,sepal-length,sepal-width
iris	2	1	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	petal-width,petal-length,sepal-length,sepal-width
iris	2	1	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	petal-width,petal-length,sepal-length,sepal-width
iris	2	1	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	petal-width,petal-length,sepal-length,sepal-width
iris	2	1	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	petal-width,petal-length,sepal-length,sepal-width
iris	2	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	petal-width,petal-length,sepal-length,sepal-width
iris	2	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	petal-width,petal-length,sepal-length,sepal-width
iris	2	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	petal-width,petal-length,sepal-length,sepal-width
iris	2	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	petal-width,petal-length,sepal-length,sepal-width
iris	2	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	petal-width,petal-length,sepal-width,sepal-length
iris	2	2	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	petal-length,petal-width,sepal-length,sepal-width
