Feature_Selection_Algorithm	Feature	Mean_Rank
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	petal-length	1.0
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	petal-width	2.0
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	sepal-length	3.0
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	sepal-width	4.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	petal-width	1.5
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	petal-length	1.5
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	sepal-length	3.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	sepal-width	4.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	petal-width	1.1
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	petal-length	1.9
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	sepal-length	3.1
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	sepal-width	3.9
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	petal-width	1.3
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	petal-length	1.7
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	sepal-length	3.1
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	sepal-width	3.9
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	petal-width	1.3
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	petal-length	1.7
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	sepal-length	3.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	sepal-width	4.0
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	petal-width	1.3
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	petal-length	1.7
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	sepal-length	3.0
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	sepal-width	4.0
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	petal-width	1.5
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	petal-length	1.5
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	sepal-length	3.2
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	sepal-width	3.8
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	petal-length	1.5
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	petal-width	1.5
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	sepal-length	3.1
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	sepal-width	3.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	petal-length	1.4
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	petal-width	1.6
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	sepal-length	3.0
/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	sepal-width	4.0
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	petal-width	1.3
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	petal-length	1.7
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	sepal-length	3.3
/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	sepal-width	3.7
