Description	Iteration	Algorithm	Features
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	petal-length,petal-width,sepal-length
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	petal-length,petal-width,sepal-length,sepal-width
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	petal-width,petal-length,sepal-length
iris	1	/AlgorithmScripts/Classification/tsv/keras/dnn	petal-length,petal-width,sepal-length
iris	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	petal-length,petal-width,sepal-length
iris	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	petal-length,petal-width,sepal-length
iris	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	petal-length,petal-width,sepal-length
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	petal-length
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	petal-width
iris	1	/AlgorithmScripts/Classification/tsv/sklearn/svm	petal-length
iris	2	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	petal-width
iris	2	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	petal-width
iris	2	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	petal-width,petal-length,sepal-length
iris	2	/AlgorithmScripts/Classification/tsv/keras/dnn	petal-width
iris	2	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	petal-width,petal-length,sepal-width
iris	2	/AlgorithmScripts/Classification/tsv/mlr/mlp	petal-width,petal-length,sepal-length
iris	2	/AlgorithmScripts/Classification/tsv/mlr/xgboost	petal-width,petal-length,sepal-length
iris	2	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	petal-width,petal-length,sepal-length
iris	2	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	petal-width
iris	2	/AlgorithmScripts/Classification/tsv/sklearn/svm	petal-width
iris	3	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	petal-width,petal-length,sepal-length
iris	3	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	petal-length,petal-width,sepal-length,sepal-width
iris	3	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	petal-length
iris	3	/AlgorithmScripts/Classification/tsv/keras/dnn	petal-length
iris	3	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	petal-width,petal-length,sepal-length
iris	3	/AlgorithmScripts/Classification/tsv/mlr/mlp	petal-length,petal-width,sepal-length,sepal-width
iris	3	/AlgorithmScripts/Classification/tsv/mlr/xgboost	petal-width,petal-length,sepal-length
iris	3	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	petal-length
iris	3	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	petal-width
iris	3	/AlgorithmScripts/Classification/tsv/sklearn/svm	petal-length
iris	4	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	petal-length,petal-width,sepal-length
iris	4	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	petal-length,petal-width,sepal-length
iris	4	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	petal-length
iris	4	/AlgorithmScripts/Classification/tsv/keras/dnn	petal-length
iris	4	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	petal-width,petal-length,sepal-length,sepal-width
iris	4	/AlgorithmScripts/Classification/tsv/mlr/mlp	petal-length,petal-width,sepal-length
iris	4	/AlgorithmScripts/Classification/tsv/mlr/xgboost	petal-width,petal-length,sepal-length,sepal-width
iris	4	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	petal-length
iris	4	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	petal-width
iris	4	/AlgorithmScripts/Classification/tsv/sklearn/svm	petal-length,petal-width,sepal-length
iris	5	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	petal-width
iris	5	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	petal-width
iris	5	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	petal-width
iris	5	/AlgorithmScripts/Classification/tsv/keras/dnn	petal-width
iris	5	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	petal-width
iris	5	/AlgorithmScripts/Classification/tsv/mlr/mlp	petal-width
iris	5	/AlgorithmScripts/Classification/tsv/mlr/xgboost	petal-width
iris	5	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	petal-width,petal-length,sepal-length
iris	5	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	petal-width
iris	5	/AlgorithmScripts/Classification/tsv/sklearn/svm	petal-width
