Description	Iteration	Algorithm	Metric	Value
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	AUROC	0.431818181818182
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Accuracy	0.473684210526316
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	BalancedAccuracy	0.426136363636364
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Brier	0.362004210526316
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	F1	0.166666666666667
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FDR	0.75
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FNR	0.875
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FPR	0.272727272727273
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MCC	-0.178906611833034
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MMCE	0.526315789473684
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	NPV	0.533333333333333
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	PPV	0.25
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Recall	0.125
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TNR	0.727272727272727
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TPR	0.125
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	AUROC	0.788825757575757
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Accuracy	0.745614035087719
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	BalancedAccuracy	0.720643939393939
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Brier	0.182642798245614
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	F1	0.650602409638554
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FDR	0.228571428571429
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FNR	0.4375
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FPR	0.121212121212121
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MCC	0.47235336886671
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MMCE	0.254385964912281
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	NPV	0.734177215189873
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	PPV	0.771428571428571
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Recall	0.5625
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TNR	0.878787878787879
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TPR	0.5625
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	AUROC	0.727588383838383
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Accuracy	0.684210526315789
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	BalancedAccuracy	0.667613636363636
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Brier	0.207642570175439
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	F1	0.6
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FDR	0.357142857142857
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FNR	0.4375
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FPR	0.227272727272727
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	MCC	0.343116052584436
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	MMCE	0.315789473684211
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	NPV	0.708333333333333
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	PPV	0.642857142857143
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Recall	0.5625
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	TNR	0.772727272727273
liver-disorder	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	TPR	0.5625
liver-disorder	1	/AlgorithmScripts/Classification/tsv/keras/dnn	AUROC	0.773674242424242
liver-disorder	1	/AlgorithmScripts/Classification/tsv/keras/dnn	Accuracy	0.657894736842105
liver-disorder	1	/AlgorithmScripts/Classification/tsv/keras/dnn	BalancedAccuracy	0.59375
liver-disorder	1	/AlgorithmScripts/Classification/tsv/keras/dnn	Brier	0.213636579027697
liver-disorder	1	/AlgorithmScripts/Classification/tsv/keras/dnn	F1	0.315789473684211
