Feature_Selection_Algorithm	Feature	Mean_Rank
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	gamma-glutamyl-transpeptidase	2.3
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	aspartate-aminotransferase	2.3
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	mean-corpuscular-vol	3.5
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	alkaline-phosphotase	3.8
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	alamine-aminotransferase	4.3
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	num-half-pint-equivalents	4.7
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	num-half-pint-equivalents	1.1
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	mean-corpuscular-vol	2.2
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	alkaline-phosphotase	3.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	aspartate-aminotransferase	4.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	gamma-glutamyl-transpeptidase	4.7
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	alamine-aminotransferase	6.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	gamma-glutamyl-transpeptidase	2.4
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	num-half-pint-equivalents	2.9
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	alkaline-phosphotase	3.5
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	aspartate-aminotransferase	3.8
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	mean-corpuscular-vol	3.9
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	alamine-aminotransferase	4.5
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	gamma-glutamyl-transpeptidase	2.5
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	num-half-pint-equivalents	2.7
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	aspartate-aminotransferase	2.9
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	alamine-aminotransferase	2.9
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	mean-corpuscular-vol	5.0
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	alkaline-phosphotase	5.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	num-half-pint-equivalents	1.1
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	mean-corpuscular-vol	2.2
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	alkaline-phosphotase	3.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	aspartate-aminotransferase	4.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	gamma-glutamyl-transpeptidase	4.7
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	alamine-aminotransferase	6.0
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	gamma-glutamyl-transpeptidase	1.6
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	aspartate-aminotransferase	3.1
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	alamine-aminotransferase	3.5
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	mean-corpuscular-vol	3.9
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	alkaline-phosphotase	4.0
/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	num-half-pint-equivalents	4.9
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	gamma-glutamyl-transpeptidase	1.8
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	alamine-aminotransferase	1.8
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	aspartate-aminotransferase	3.0
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	num-half-pint-equivalents	4.5
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	mean-corpuscular-vol	4.7
/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	alkaline-phosphotase	5.2
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	num-half-pint-equivalents	2.4
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	gamma-glutamyl-transpeptidase	2.5
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	alamine-aminotransferase	3.6
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	alkaline-phosphotase	3.7
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	aspartate-aminotransferase	4.2
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	mean-corpuscular-vol	4.6
