Description	Iteration	Algorithm	Features
molecular-biology_promoters	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	p-36_3,p-35_3,p-34_2
molecular-biology_promoters	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	p-36_3,p-35_3,p-34_2,p-12_1,p-31_1,p-12_3,p-33_2,p-2_3,p-12_2,p-5_1
molecular-biology_promoters	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	p-36_3,p7_3,p-10_2,p-11_1,p-12_1,p-12_2,p-20_2,p-25_3,p-30_1,p-30_2,p-31_1,p-34_2,p-35_3,p-37_3,p-44_3,p-45_2,p-5_1,p-6_2,p2_3,p4_2,p-12_3,p-14_1,p-18_1,p-18_3,p-20_1,p-21_1,p-24_1,p-29_2,p-2_3,p-32_1,p-36_1,p-41_2,p-42_3,p-45_3,p-49_1,p1_1,p2_2,p6_3,p-13_3,p-14_2,p-15_2,p-16_1,p-17_1,p-1_2,p-25_1,p-28_3,p-33_2,p-36_2,p-48_1,p-48_2
molecular-biology_promoters	1	/AlgorithmScripts/Classification/tsv/keras/dnn	p-36_3,p-35_3,p-34_2,p-12_1,p-31_1,p-12_3,p-33_2,p-2_3,p-12_2,p-5_1
molecular-biology_promoters	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	p-36_3,p-34_2,p-35_3,p-12_1,p-31_1,p-12_3,p-33_2,p-2_3,p-12_2,p-5_1,p-32_1,p-42_3,p-36_1,p-45_2,p-10_3,p-30_2,p-2_1,p-37_3,p1_1,p-21_1
molecular-biology_promoters	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	p-36_3,p-35_3,p-34_2,p-12_1,p-33_2,p-12_2,p-31_1,p-2_3,p-12_3,p-45_2,p-36_1,p-5_1,p-42_3,p-30_2,p-10_3
molecular-biology_promoters	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	p-36_3,p-35_3,p-34_2,p-12_1,p-31_1,p-12_3,p-33_2,p-2_3,p-12_2,p-5_1
molecular-biology_promoters	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	p-36_3,p-35_3,p-34_2
molecular-biology_promoters	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	p-36_3,p-35_3,p-34_2,p-12_1,p-33_2,p-31_1,p-12_2,p-12_3,p-2_3,p-5_1,p-36_1,p-45_2,p-42_3,p-32_1,p-30_2,p-10_3,p-27_3,p-27_2,p-28_1,p-27_1
molecular-biology_promoters	1	/AlgorithmScripts/Classification/tsv/sklearn/svm	p-36_3,p-35_3,p-34_2,p-12_1,p-33_2,p-12_2,p-31_1,p-2_3,p-12_3,p-45_2
molecular-biology_promoters	2	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	p-35_3,p-34_2,p-36_3
molecular-biology_promoters	2	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	p-35_3,p-34_2,p-36_3,p-33_2,p-34_3
molecular-biology_promoters	2	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	p-34_2,p-35_3,p-36_3,p-12_3,p-34_3,p-35_1,p-32_1,p-2_1,p-43_3,p-43_1,p-21_1,p-33_2,p-12_2,p-37_3,p-42_3,p-12_1,p-13_1,p-9_3,p1_1,p-31_1,p-49_1,p-11_2,p-45_2,p-38_3,p-2_3,p-25_3,p-49_2,p-5_1,p-30_2,p-44_3,p-42_1,p-19_2,p4_2,p-10_3,p3_3,p-38_1,p-37_1,p-10_1,p-9_2,p-40_1,p-13_2,p2_2,p-4_1,p-24_1,p-21_2,p-8_1,p-9_1,p-46_2,p-11_1,p-30_1
molecular-biology_promoters	2	/AlgorithmScripts/Classification/tsv/keras/dnn	p-34_2,p-35_3,p-36_3
molecular-biology_promoters	2	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	p-34_2,p-12_1,p-12_2,p-12_3,p-21_1,p-25_3,p-30_2,p-32_1,p-33_2,p-34_3,p-35_1,p-35_3,p-36_3,p-43_1,p-43_3,p-45_2,p-45_3,p-49_1,p1_1,p3_3
molecular-biology_promoters	2	/AlgorithmScripts/Classification/tsv/mlr/mlp	p-34_2,p-35_3,p-36_3,p-43_1,p-34_3
molecular-biology_promoters	2	/AlgorithmScripts/Classification/tsv/mlr/xgboost	p-34_2,p-35_3,p-36_3,p-34_3,p-43_1
molecular-biology_promoters	2	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	p-35_3,p-34_2,p-36_3
molecular-biology_promoters	2	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	p-34_2,p-35_3,p-36_3,p-43_1,p-34_3
molecular-biology_promoters	2	/AlgorithmScripts/Classification/tsv/sklearn/svm	p-34_2,p-35_3,p-36_3
molecular-biology_promoters	3	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	p-36_3,p-34_2,p-35_3
molecular-biology_promoters	3	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	p-36_3,p-34_2,p-35_3,p-32_1,p-33_2,p-38_3,p-14_3,p-2_1,p-12_2,p-35_1
molecular-biology_promoters	3	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	p-36_3,p-35_3,p-34_2,p-33_2,p-32_1,p-31_1,p-12_2,p-35_1,p-37_3,p-2_1
molecular-biology_promoters	3	/AlgorithmScripts/Classification/tsv/keras/dnn	p-36_3,p4_2,p7_3,p-12_2,p-19_3,p-21_1,p-2_3,p-31_1,p-32_1,p-33_1,p-33_2,p-34_2,p-35_3,p-37_3,p-38_3
molecular-biology_promoters	3	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	p-36_3,p-34_2,p-35_3
molecular-biology_promoters	3	/AlgorithmScripts/Classification/tsv/mlr/mlp	p-36_3,p-34_2,p-35_3,p-32_1,p-33_2,p-38_3,p-14_3,p-2_1,p-12_2,p-35_1
molecular-biology_promoters	3	/AlgorithmScripts/Classification/tsv/mlr/xgboost	p-36_3,p-35_3,p-34_2,p-33_2,p-32_1
molecular-biology_promoters	3	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	p-36_3,p-34_2,p-35_3
molecular-biology_promoters	3	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	p-36_3,p-34_2,p-35_3,p-32_1,p-33_2,p-38_3,p-14_3,p-2_1,p-12_2,p-35_1
molecular-biology_promoters	3	/AlgorithmScripts/Classification/tsv/sklearn/svm	p-36_3,p4_2,p7_3,p-12_2,p-19_3,p-21_1,p-2_3,p-31_1,p-32_1,p-33_1
molecular-biology_promoters	4	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	p-35_3,p-36_3,p-34_2
molecular-biology_promoters	4	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	p-35_3,p-36_3,p-12_2,p-34_2,p-31_1
molecular-biology_promoters	4	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	p-35_3,p-36_3,p-12_2,p-34_2,p-31_1
molecular-biology_promoters	4	/AlgorithmScripts/Classification/tsv/keras/dnn	p-35_3,p-12_2,p-36_3,p-34_2,p-31_1
molecular-biology_promoters	4	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	p-35_3,p-36_3,p-34_2,p-12_2,p-31_1
molecular-biology_promoters	4	/AlgorithmScripts/Classification/tsv/mlr/mlp	p-35_3,p-36_3,p-34_2,p-12_2,p-31_1
molecular-biology_promoters	4	/AlgorithmScripts/Classification/tsv/mlr/xgboost	p-35_3,p-12_2,p-36_3,p-34_2,p-37_3
molecular-biology_promoters	4	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	p-35_3,p-36_3,p-34_2,p-32_1,p-12_2
molecular-biology_promoters	4	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	p-35_3,p-36_3,p-12_2,p-34_2,p-33_2
molecular-biology_promoters	4	/AlgorithmScripts/Classification/tsv/sklearn/svm	p-35_3,p-36_3,p-34_2,p-12_2,p-31_1
molecular-biology_promoters	5	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	p-35_3,p-36_3,p-34_2
molecular-biology_promoters	5	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	p-35_3,p-36_3,p-34_2,p-12_2,p-35_1,p-33_2,p-31_1,p-32_3,p-32_1,p-45_2,p-2_3,p-49_1,p-40_1,p-36_1,p-38_3,p-2_2,p-43_1,p-42_3,p-28_3,p-9_3
molecular-biology_promoters	5	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	p-35_3,p-36_3,p-34_2,p-12_2,p-35_1,p-31_1,p-32_3,p-33_2,p-32_1,p-2_3,p-45_2,p-37_3,p-11_2,p-49_1,p-2_2,p-12_1,p-2_1,p-40_1,p-5_1,p-18_3
molecular-biology_promoters	5	/AlgorithmScripts/Classification/tsv/keras/dnn	p-35_3,p-36_3,p-34_2,p-12_2,p-32_3,p-35_1,p-33_2,p-31_1,p-45_2,p-32_1,p-2_3,p-11_2,p-42_3,p-28_3,p-49_1,p-2_1,p-43_1,p-36_1,p-10_3,p-40_3
molecular-biology_promoters	5	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	p-36_3,p-10_1,p-12_2,p-12_3,p-20_2,p-26_3,p-28_3,p-2_1,p-31_1,p-34_2,p-35_1,p-35_3,p-36_2,p-38_3,p-3_1,p-42_3,p-45_2,p-46_3,p6_1,p-16_3,p-24_2,p-25_3,p-2_2,p-32_3,p-33_1,p-33_2,p-37_2,p-37_3,p-39_1,p-3_3,p-49_1,p-5_1,p-6_3,p-7_3,p-9_2,p2_1,p3_2,p5_2,p-11_1,p-17_3,p-18_3,p-19_1,p-19_3,p-1_1,p-25_1,p-26_2,p-30_2,p-32_1,p-38_2,p-43_1
molecular-biology_promoters	5	/AlgorithmScripts/Classification/tsv/mlr/mlp	p-35_3,p-36_3,p-34_2,p-12_2,p-33_2,p-35_1,p-31_1,p-32_3,p-32_1,p-2_3,p-45_2,p-42_3,p-10_1,p-37_3,p-10_3,p-49_1,p-25_3,p-5_1,p-43_3,p-31_2
