Description	Outer_Iteration	Inner_Iteration	Algorithm	Features
null	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Numeric8,Discrete2_C,Numeric10,Discrete7_C,Discrete8_C,Numeric20,Numeric11,Discrete9_B,Numeric1,Discrete2_B,Discrete5_B,Numeric17,Numeric3,Numeric5,Numeric13,Discrete5_C,Discrete4_B,Numeric14,Numeric2,Discrete4_C,Discrete3_B,Discrete1_C,Numeric9,Discrete1_B,Discrete6_C,Discrete6_B,Discrete9_C,Numeric16,Numeric18,Numeric7,Discrete8_B,Discrete10_C,Numeric6,Numeric12,Numeric15,Numeric19,Discrete10_B,Discrete7_B,Numeric4,Discrete3_C
null	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric9,Discrete6_B,Discrete5_C,Numeric8,Discrete6_C,Discrete7_B,Discrete7_C,Discrete8_B,Discrete8_C,Discrete5_B,Discrete4_C,Discrete4_B,Discrete1_C,Discrete10_C,Discrete1_B,Discrete2_B,Discrete3_C,Discrete2_C,Discrete3_B,Discrete9_B,Discrete9_C,Numeric1,Numeric4,Numeric20,Numeric3,Numeric5,Numeric19,Numeric6,Numeric7,Numeric2,Numeric18,Numeric10,Numeric13,Numeric11,Numeric12,Numeric14,Numeric17,Numeric15,Numeric16,Discrete10_B
null	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Numeric17,Discrete9_B,Numeric2,Numeric12,Discrete5_B,Discrete7_C,Discrete8_C,Discrete4_B,Discrete2_C,Numeric20,Numeric10,Numeric13,Numeric9,Numeric18,Discrete2_B,Discrete6_C,Numeric16,Discrete1_C,Discrete3_B,Numeric14,Discrete3_C,Discrete10_C,Discrete7_B,Discrete9_C,Numeric1,Discrete5_C,Numeric3,Discrete1_B,Discrete6_B,Numeric8,Numeric7,Numeric6,Discrete10_B,Discrete4_C,Discrete8_B,Numeric15,Numeric11,Numeric4,Numeric19,Numeric5
null	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	Discrete6_B,Discrete1_B,Discrete3_B,Discrete4_C,Discrete7_C,Discrete9_B,Discrete4_B,Discrete8_C,Discrete2_B,Numeric6,Numeric13,Discrete2_C,Numeric18,Numeric8,Numeric20,Numeric16,Numeric17,Numeric3,Numeric12,Numeric14,Numeric11,Discrete3_C,Numeric2,Numeric15,Numeric19,Discrete5_C,Numeric7,Numeric4,Numeric5,Numeric1,Discrete8_B,Numeric9,Discrete1_C,Numeric10,Discrete10_C,Discrete9_C,Discrete6_C,Discrete5_B,Discrete7_B,Discrete10_B
null	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	Numeric9,Discrete6_B,Discrete5_C,Numeric8,Discrete6_C,Discrete7_B,Discrete7_C,Discrete8_B,Discrete8_C,Discrete5_B,Discrete4_C,Discrete4_B,Discrete1_C,Discrete10_C,Discrete1_B,Discrete2_B,Discrete3_C,Discrete2_C,Discrete3_B,Discrete9_B,Discrete9_C,Numeric1,Numeric4,Numeric20,Numeric3,Numeric5,Numeric19,Numeric6,Numeric7,Numeric2,Numeric18,Numeric10,Numeric13,Numeric11,Numeric12,Numeric14,Numeric17,Numeric15,Numeric16,Discrete10_B
null	1	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	Numeric8,Discrete2_C,Numeric10,Discrete7_C,Discrete8_C,Numeric11,Numeric13,Discrete9_B,Numeric1,Discrete2_B,Numeric2,Discrete5_B,Numeric5,Numeric20,Numeric3,Numeric17,Discrete5_C,Discrete4_B,Numeric16,Discrete4_C,Discrete3_B,Discrete1_C,Discrete1_B,Discrete6_C,Discrete6_B,Numeric6,Discrete9_C,Numeric7,Numeric14,Discrete8_B,Discrete10_C,Numeric9,Numeric19,Numeric12,Discrete10_B,Numeric15,Numeric4,Discrete7_B,Discrete3_C,Numeric18
null	1	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	Numeric8,Numeric16,Discrete6_B,Discrete7_C,Discrete9_B,Discrete1_B,Discrete2_C,Numeric20,Numeric3,Numeric17,Discrete5_C,Discrete3_B,Discrete3_C,Numeric9,Discrete4_B,Discrete1_C,Numeric10,Numeric13,Discrete9_C,Discrete10_B,Discrete10_C,Numeric6,Discrete7_B,Numeric14,Discrete8_C,Discrete5_B,Numeric1,Discrete4_C,Numeric18,Numeric19,Discrete6_C,Discrete8_B,Numeric4,Numeric7,Numeric5,Numeric2,Discrete2_B,Numeric12,Numeric11,Numeric15
null	1	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	Numeric16,Discrete6_C,Discrete4_C,Numeric6,Discrete8_C,Discrete6_B,Discrete10_B,Numeric8,Discrete3_C,Discrete2_C,Discrete9_C,Numeric18,Numeric13,Numeric17,Numeric14,Numeric12,Discrete2_B,Discrete4_B,Discrete5_B,Discrete1_B,Discrete10_C,Numeric9,Discrete1_C,Numeric7,Numeric5,Numeric4,Discrete8_B,Discrete7_B,Numeric15,Numeric2,Numeric10,Discrete9_B,Discrete7_C,Numeric19,Numeric11,Discrete5_C,Numeric1,Numeric3,Discrete3_B,Numeric20
null	1	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	Numeric16,Numeric18,Numeric6,Numeric8,Numeric13,Numeric17,Numeric2,Numeric3,Numeric1,Numeric11,Numeric14,Numeric20,Numeric10,Numeric12,Numeric19,Numeric7,Numeric15,Numeric4,Numeric5,Numeric9,Discrete2_B,Discrete2_C,Discrete5_B,Discrete7_B,Discrete3_B,Discrete4_B,Discrete6_B,Discrete8_C,Discrete1_B,Discrete7_C,Discrete8_B,Discrete9_B,Discrete10_B,Discrete4_C,Discrete5_C,Discrete9_C,Discrete10_C,Discrete1_C,Discrete3_C,Discrete6_C
null	1	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	Discrete2_C,Discrete7_C,Discrete8_C,Numeric8,Discrete10_C,Discrete5_B,Discrete7_B,Discrete9_B,Discrete1_C,Numeric10,Numeric17,Numeric20,Discrete1_B,Discrete3_C,Numeric1,Numeric6,Discrete10_B,Discrete3_B,Discrete5_C,Numeric16,Discrete4_B,Numeric18,Numeric2,Numeric3,Discrete4_C,Discrete6_C,Numeric19,Numeric7,Discrete2_B,Discrete6_B,Numeric12,Numeric5,Discrete9_C,Numeric13,Numeric15,Numeric4,Discrete8_B,Numeric11,Numeric14,Numeric9
