Feature_Selection_Algorithm	Feature	Mean_Rank
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Discrete2_C	9.7
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Discrete3_B	11.9
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Discrete5_B	12.1
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Numeric10	12.9
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Discrete8_C	14.8
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Numeric8	15.3
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Discrete3_C	15.4
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Discrete2_B	15.5
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Discrete6_B	15.7
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Numeric4	16.1
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Numeric11	17.8
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Discrete6_C	18.1
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Discrete5_C	18.2
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Numeric12	18.5
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Discrete7_C	18.9
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Discrete9_B	19.9
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Discrete10_C	20.3
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Numeric19	21.1
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Numeric5	21.1
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Discrete1_C	21.1
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Numeric14	21.2
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Numeric6	21.3
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Numeric1	21.3
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Numeric15	21.5
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Discrete4_C	21.8
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Discrete10_B	23.1
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Discrete4_B	23.5
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Discrete8_B	23.6
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Numeric18	23.9
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Numeric2	24.0
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Numeric20	25.0
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Discrete7_B	25.0
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Numeric16	25.1
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Discrete1_B	25.3
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Numeric17	25.4
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Numeric13	25.6
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Numeric7	25.9
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Numeric9	26.1
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Numeric3	27.3
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	Discrete9_C	29.9
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric9	1.7
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Discrete6_B	2.6
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Discrete6_C	4.5
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Discrete5_C	4.8
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Discrete7_B	5.9
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric8	6.3
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Discrete7_C	7.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Discrete8_B	8.1
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Discrete8_C	8.5
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Discrete5_B	8.6
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Discrete4_C	11.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Discrete1_C	13.1
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Discrete10_C	13.1
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Discrete4_B	13.3
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Discrete1_B	14.9
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Discrete2_C	15.6
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Discrete2_B	15.8
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Discrete3_C	16.3
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Discrete3_B	18.8
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Discrete9_B	20.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Discrete9_C	21.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric1	22.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric4	23.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric20	24.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric3	25.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric5	26.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric19	27.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric6	28.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric7	29.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric2	30.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric18	31.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric10	32.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric13	33.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric11	34.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric12	35.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric14	36.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric17	37.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric15	38.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Numeric16	39.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	Discrete10_B	40.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Discrete5_B	11.3
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Numeric13	12.1
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Discrete3_B	13.3
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Discrete3_C	14.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Discrete8_C	14.3
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Discrete6_B	14.6
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	Numeric12	15.3
