Description	Iteration	Algorithm	Features
null	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Discrete5_C,Discrete2_C,Discrete5_B,Discrete8_C,Discrete10_C,Discrete3_B,Discrete7_B,Discrete7_C,Discrete2_B,Numeric10,Numeric2,Numeric8,Discrete6_C,Numeric1,Numeric13,Numeric17,Discrete4_C,Discrete9_B,Discrete9_C,Numeric15
null	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Numeric16,Numeric10,Numeric17,Numeric8,Numeric13,Numeric20,Numeric3,Numeric7,Numeric1,Numeric18
null	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Discrete2_B,Numeric8,Numeric11,Numeric17,Discrete3_B,Discrete5_B,Discrete2_C,Discrete8_C,Discrete4_B,Discrete7_C
null	1	/AlgorithmScripts/Classification/tsv/keras/dnn	Discrete2_C,Discrete2_B,Numeric8,Numeric10,Discrete3_B,Numeric5,Discrete8_C,Discrete5_B,Numeric11,Numeric2,Discrete7_C,Discrete6_C,Numeric1,Discrete4_B,Numeric14,Discrete9_B,Discrete3_C,Numeric13,Numeric17,Numeric15
null	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	Discrete2_C,Discrete6_C,Numeric9,Discrete5_B,Discrete6_B,Discrete7_B,Discrete7_C,Discrete8_B,Discrete8_C,Discrete5_C
null	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	Discrete2_C,Discrete2_B,Numeric8,Numeric10,Discrete3_B,Numeric5,Discrete8_C,Discrete5_B,Numeric11,Numeric2,Discrete7_C,Discrete6_C,Numeric1,Discrete4_B,Numeric14,Discrete9_B,Discrete3_C,Numeric13,Numeric17,Numeric15
null	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	Discrete2_C,Discrete2_B,Numeric8,Numeric5,Numeric10,Discrete3_B,Discrete8_C,Numeric2,Discrete5_B,Numeric11,Discrete7_C,Numeric1,Numeric13,Discrete6_C,Discrete4_B
null	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	Discrete5_C,Discrete2_C,Discrete5_B
null	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	Discrete2_B,Numeric8,Numeric11,Numeric17,Discrete3_B,Discrete5_B,Discrete2_C,Discrete8_C,Discrete4_B,Discrete7_C
null	1	/AlgorithmScripts/Classification/tsv/sklearn/svm	Discrete2_C,Discrete2_B,Numeric8,Numeric10,Discrete3_B,Numeric5,Discrete8_C,Discrete5_B,Numeric11,Numeric2,Discrete7_C,Discrete6_C,Numeric1,Discrete4_B,Numeric14,Discrete9_B,Discrete3_C,Numeric13,Numeric17,Numeric15
null	2	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Discrete2_C,Numeric3,Discrete8_B,Discrete9_C,Discrete7_B,Numeric8,Numeric15,Numeric12,Discrete1_C,Numeric11
null	2	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Discrete2_C,Numeric3,Discrete8_B
null	2	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Discrete2_C,Numeric3,Discrete8_B,Discrete9_C,Discrete7_B,Numeric8,Numeric15,Numeric12,Discrete1_C,Numeric11
null	2	/AlgorithmScripts/Classification/tsv/keras/dnn	Numeric9
null	2	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	Discrete2_C,Numeric3,Discrete8_B
null	2	/AlgorithmScripts/Classification/tsv/mlr/mlp	Numeric20
null	2	/AlgorithmScripts/Classification/tsv/mlr/xgboost	Discrete2_C,Numeric3,Discrete8_B,Discrete9_C,Discrete7_B,Numeric8,Numeric15,Numeric12,Discrete1_C,Numeric11,Discrete10_B,Discrete6_B,Numeric1,Discrete4_B,Discrete5_B
null	2	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	Discrete2_C,Numeric3,Discrete8_B,Discrete9_C,Discrete7_B,Numeric8,Numeric15,Numeric12,Discrete1_C,Numeric11,Discrete10_B,Discrete6_B,Numeric1,Discrete4_B,Discrete5_B,Numeric4,Discrete9_B,Numeric17,Discrete7_C,Discrete4_C
null	2	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	Numeric20
null	2	/AlgorithmScripts/Classification/tsv/sklearn/svm	Numeric9,Discrete6_B,Discrete5_C,Numeric8,Discrete6_C,Discrete7_B,Discrete7_C,Discrete8_B,Discrete8_C,Discrete5_B,Discrete4_C,Discrete4_B,Discrete1_C,Discrete10_C,Discrete1_B
null	3	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Numeric6,Numeric19,Numeric3,Numeric4,Numeric13
null	3	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Numeric6,Numeric19,Numeric3,Numeric4,Numeric13,Numeric15,Numeric20,Numeric8,Numeric10,Numeric12,Numeric14,Numeric16,Numeric11,Numeric17,Numeric7,Numeric9,Numeric1,Numeric18,Numeric2,Numeric5,Discrete5_B,Discrete6_B,Discrete7_B,Discrete9_B,Discrete10_B,Discrete2_B,Discrete3_B,Discrete4_B,Discrete1_B,Discrete2_C,Discrete4_C,Discrete5_C,Discrete3_C,Discrete6_C,Discrete8_B,Discrete8_C,Discrete10_C,Discrete1_C,Discrete7_C,Discrete9_C
null	3	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Discrete3_C,Discrete2_C,Numeric19,Discrete1_B,Discrete5_C,Numeric17,Discrete6_B,Numeric9,Numeric12,Discrete4_C,Numeric2,Discrete5_B,Discrete8_B,Numeric15,Discrete1_C
null	3	/AlgorithmScripts/Classification/tsv/keras/dnn	Numeric2,Discrete9_B,Numeric19,Numeric4,Numeric18,Numeric6,Numeric17,Discrete6_B,Numeric15,Discrete10_B,Discrete6_C,Discrete3_C,Discrete7_C,Numeric7,Discrete8_C,Discrete1_C,Numeric8,Discrete10_C,Discrete9_C,Numeric14,Discrete1_B,Discrete4_B,Discrete2_C,Discrete8_B,Discrete4_C,Discrete7_B,Discrete5_B,Numeric3,Discrete5_C,Discrete3_B,Numeric9,Numeric12,Numeric11,Numeric5,Numeric16,Numeric13,Discrete2_B,Numeric10,Numeric20,Numeric1
null	3	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	Numeric6
null	3	/AlgorithmScripts/Classification/tsv/mlr/mlp	Discrete9_B,Numeric13,Discrete4_B,Discrete2_B,Discrete1_B,Discrete7_B,Numeric4,Discrete5_C,Discrete7_C,Numeric12,Numeric1,Discrete5_B,Discrete3_B,Numeric10,Numeric3,Discrete4_C,Discrete10_B,Numeric19,Discrete1_C,Discrete8_B,Numeric17,Discrete9_C,Numeric18,Numeric5,Numeric7,Discrete10_C,Discrete6_C,Numeric8,Discrete3_C,Numeric16,Numeric6,Discrete2_C,Discrete6_B,Numeric9,Numeric15,Numeric11,Numeric2,Numeric14,Discrete8_C,Numeric20
null	3	/AlgorithmScripts/Classification/tsv/mlr/xgboost	Numeric6
null	3	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	Numeric6
null	3	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	Numeric19,Discrete9_B,Discrete5_B,Numeric15,Numeric18,Numeric2,Numeric6,Discrete3_B,Numeric16,Discrete3_C,Discrete10_B,Numeric17,Numeric4,Numeric5,Discrete4_B,Discrete6_C,Discrete1_C,Discrete7_C,Discrete8_C,Discrete6_B
null	3	/AlgorithmScripts/Classification/tsv/sklearn/svm	Numeric4,Discrete5_B,Numeric6,Discrete9_B,Numeric5,Discrete3_C,Discrete10_B,Discrete6_C,Numeric10,Discrete6_B,Numeric19,Discrete2_B,Discrete2_C,Discrete3_B,Discrete8_C,Discrete4_C,Discrete7_B,Numeric15,Numeric11,Discrete1_C
null	4	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Numeric12
null	4	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Numeric9,Discrete6_B,Discrete5_C
null	4	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Numeric8,Discrete3_C,Discrete6_B
null	4	/AlgorithmScripts/Classification/tsv/keras/dnn	Numeric8,Discrete3_C,Discrete6_B,Numeric13,Discrete7_C
null	4	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	Numeric4,Numeric12,Numeric14,Numeric19,Numeric10,Numeric11,Numeric15,Numeric2,Numeric5,Numeric6,Numeric7,Numeric8,Numeric1,Numeric16,Numeric20,Numeric9,Numeric13,Numeric17,Numeric18,Numeric3
null	4	/AlgorithmScripts/Classification/tsv/mlr/mlp	Discrete3_C,Discrete7_C,Numeric8,Discrete3_B,Discrete10_B,Numeric13,Numeric15,Discrete2_C,Discrete1_C,Numeric14
