Description	Iteration	Algorithm	Metric	Value
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	AUROC	0.808012893367749
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Accuracy	0.879610771667798
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	BalancedAccuracy	0.693974856366934
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Brier	0.0859932996152976
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	F1	NA
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FDR	NA
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FNR	0.530496040066754
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FPR	0.0815542471993788
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MCC	0.406747794121625
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MMCE	0.120389228332202
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	NPV	0.934485320446157
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	PPV	NA
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Recall	0.469503959933246
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TNR	0.918445752800621
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TPR	0.469503959933246
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	AUROC	0.791789636966907
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Accuracy	0.904955872369314
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	BalancedAccuracy	0.704175248416126
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Brier	0.0650231140529532
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	F1	NA
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FDR	0.465248179023983
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FNR	0.527389747993326
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FPR	0.0642597551744213
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MCC	0.435002609061868
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MMCE	0.0950441276306857
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	NPV	0.936393333219023
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	PPV	0.534751820976017
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Recall	0.472610252006674
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TNR	0.935740244825579
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TPR	0.472610252006674
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	AUROC	0.845479962908184
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Accuracy	0.909934374292826
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	BalancedAccuracy	0.706344859501954
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Brier	0.0606537906766237
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	F1	NA
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FDR	NA
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FNR	0.526115687102523
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FPR	0.0611945938935688
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	MCC	0.445931872705636
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	MMCE	0.0900656257071736
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	NPV	0.941065979395148
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	PPV	NA
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Recall	0.473884312897477
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	TNR	0.938805406106431
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	TPR	0.473884312897477
yeast	1	/AlgorithmScripts/Classification/tsv/keras/dnn	AUROC	0.848636948020399
yeast	1	/AlgorithmScripts/Classification/tsv/keras/dnn	Accuracy	0.873274496492419
yeast	1	/AlgorithmScripts/Classification/tsv/keras/dnn	BalancedAccuracy	0.539815456379019
yeast	1	/AlgorithmScripts/Classification/tsv/keras/dnn	Brier	0.0766997772080207
yeast	1	/AlgorithmScripts/Classification/tsv/keras/dnn	F1	NA
yeast	1	/AlgorithmScripts/Classification/tsv/keras/dnn	FDR	NA
yeast	1	/AlgorithmScripts/Classification/tsv/keras/dnn	FNR	0.829418697288224
yeast	1	/AlgorithmScripts/Classification/tsv/keras/dnn	FPR	0.0909503899537376
yeast	1	/AlgorithmScripts/Classification/tsv/keras/dnn	MCC	0.108299115528304
yeast	1	/AlgorithmScripts/Classification/tsv/keras/dnn	MMCE	0.126725503507581
yeast	1	/AlgorithmScripts/Classification/tsv/keras/dnn	NPV	0.91659651113875
yeast	1	/AlgorithmScripts/Classification/tsv/keras/dnn	PPV	NA
yeast	1	/AlgorithmScripts/Classification/tsv/keras/dnn	Recall	0.170581302711776
yeast	1	/AlgorithmScripts/Classification/tsv/keras/dnn	TNR	0.909049610046262
yeast	1	/AlgorithmScripts/Classification/tsv/keras/dnn	TPR	0.170581302711776
yeast	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	AUROC	0.827555335789268
yeast	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	Accuracy	0.914912876216339
yeast	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	BalancedAccuracy	0.723887240015737
yeast	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	Brier	0.0594352525519462
yeast	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	F1	NA
yeast	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	FDR	0.423885602477557
yeast	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	FNR	0.494787802097017
yeast	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	FPR	0.0574377178715098
yeast	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	MCC	0.478902357034439
yeast	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	MMCE	0.0850871237836615
yeast	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	NPV	0.943740631503394
yeast	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	PPV	0.576114397522444
yeast	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	Recall	0.505212197902983
yeast	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	TNR	0.94256228212849
yeast	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	TPR	0.505212197902983
yeast	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	AUROC	0.807523242686166
yeast	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	Accuracy	0.907218827789093
yeast	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	BalancedAccuracy	0.700219057419791
yeast	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	Brier	0.0628433729019627
