Description	Outer_Iteration	Inner_Iteration	Algorithm	Features
yeast	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	alm,mit,nuc,mcg,gvh,vac,pox,erl
yeast	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	pox,alm,gvh,mcg,mit,nuc,erl,vac
yeast	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	alm,nuc,gvh,mit,vac,mcg,pox,erl
yeast	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	alm,mcg,gvh,mit,nuc,vac,pox,erl
yeast	1	1	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	alm,mcg,gvh,mit,nuc,pox,erl,vac
yeast	1	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	alm,pox,mcg,gvh,mit,nuc,vac,erl
yeast	1	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	alm,mit,mcg,nuc,gvh,vac,pox,erl
yeast	1	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	alm,mcg,gvh,mit,nuc,pox,vac,erl
yeast	1	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	mcg,alm,mit,gvh,vac,nuc,pox,erl
yeast	1	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	mcg,alm,pox,gvh,mit,nuc,vac,erl
yeast	1	2	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	alm,mit,nuc,mcg,gvh,vac,pox,erl
yeast	1	2	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	alm,pox,mcg,mit,gvh,nuc,erl,vac
yeast	1	2	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	nuc,alm,gvh,mit,mcg,pox,erl,vac
yeast	1	2	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	alm,mcg,gvh,mit,nuc,vac,pox,erl
yeast	1	2	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	alm,mcg,gvh,mit,nuc,pox,erl,vac
yeast	1	2	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	alm,pox,mcg,gvh,mit,nuc,vac,erl
yeast	1	2	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	alm,nuc,mit,mcg,gvh,vac,pox,erl
yeast	1	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	alm,mcg,gvh,mit,nuc,pox,vac,erl
yeast	1	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	mcg,alm,mit,gvh,vac,nuc,pox,erl
yeast	1	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	mcg,alm,pox,gvh,mit,nuc,vac,erl
yeast	1	3	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	alm,nuc,mit,gvh,mcg,pox,vac,erl
yeast	1	3	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	pox,alm,mcg,mit,gvh,nuc,erl,vac
yeast	1	3	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	nuc,alm,gvh,vac,mit,pox,erl,mcg
yeast	1	3	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	alm,mcg,gvh,mit,nuc,pox,vac,erl
yeast	1	3	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	alm,mcg,gvh,nuc,mit,pox,erl,vac
yeast	1	3	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	pox,alm,mcg,gvh,mit,nuc,vac,erl
yeast	1	3	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	alm,mit,nuc,mcg,gvh,vac,pox,erl
yeast	1	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	alm,mcg,gvh,nuc,mit,pox,vac,erl
yeast	1	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	mcg,alm,mit,gvh,nuc,vac,pox,erl
yeast	1	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	mcg,alm,pox,gvh,nuc,mit,vac,erl
yeast	2	1	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	alm,mit,gvh,mcg,nuc,vac,pox,erl
yeast	2	1	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	pox,alm,mcg,mit,gvh,nuc,erl,vac
yeast	2	1	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	alm,nuc,gvh,mit,mcg,pox,erl,vac
yeast	2	1	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	mcg,alm,gvh,mit,nuc,vac,pox,erl
yeast	2	1	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	alm,mcg,gvh,mit,nuc,pox,erl,vac
yeast	2	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	alm,pox,mcg,gvh,mit,nuc,vac,erl
yeast	2	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	alm,mit,gvh,mcg,nuc,vac,pox,erl
yeast	2	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	alm,mcg,gvh,mit,nuc,erl,pox,vac
yeast	2	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	mcg,alm,mit,gvh,vac,nuc,pox,erl
yeast	2	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	mcg,alm,gvh,pox,mit,nuc,vac,erl
yeast	2	2	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	alm,mit,gvh,mcg,nuc,vac,pox,erl
yeast	2	2	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	mcg,alm,gvh,mit,nuc,pox,erl,vac
yeast	2	2	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	alm,mit,nuc,mcg,gvh,vac,pox,erl
yeast	2	2	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	mcg,alm,gvh,mit,nuc,vac,pox,erl
yeast	2	2	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	alm,mcg,gvh,mit,nuc,pox,erl,vac
yeast	2	2	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	alm,mcg,gvh,mit,nuc,vac,erl,pox
yeast	2	2	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	alm,mit,mcg,nuc,gvh,vac,pox,erl
yeast	2	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	alm,mcg,gvh,mit,nuc,erl,pox,vac
yeast	2	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	mcg,alm,mit,gvh,vac,nuc,erl,pox
yeast	2	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	mcg,alm,gvh,nuc,mit,vac,erl,pox
yeast	2	3	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	alm,mit,nuc,gvh,mcg,pox,vac,erl
yeast	2	3	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	pox,mcg,alm,gvh,mit,nuc,erl,vac
yeast	2	3	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	alm,nuc,mit,vac,mcg,pox,erl,gvh
yeast	2	3	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	alm,mcg,gvh,mit,nuc,vac,pox,erl
yeast	2	3	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	alm,mcg,gvh,mit,nuc,pox,erl,vac
yeast	2	3	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	pox,alm,mcg,gvh,mit,nuc,vac,erl
yeast	2	3	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	alm,mit,mcg,nuc,gvh,vac,pox,erl
yeast	2	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	alm,mcg,gvh,mit,nuc,pox,erl,vac
yeast	2	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	mcg,alm,mit,gvh,nuc,vac,pox,erl
yeast	2	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	mcg,alm,pox,gvh,nuc,mit,vac,erl
yeast	3	1	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	alm,mit,nuc,gvh,mcg,pox,erl,vac
yeast	3	1	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	alm,pox,mcg,gvh,mit,nuc,erl,vac
yeast	3	1	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	nuc,alm,mcg,mit,vac,pox,erl,gvh
yeast	3	1	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	alm,mcg,gvh,mit,nuc,vac,pox,erl
yeast	3	1	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	alm,mcg,gvh,mit,nuc,pox,erl,vac
yeast	3	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	alm,pox,gvh,mcg,mit,nuc,vac,erl
yeast	3	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	alm,mit,nuc,mcg,gvh,vac,pox,erl
yeast	3	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	alm,mcg,gvh,mit,nuc,pox,vac,erl
yeast	3	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	mcg,alm,mit,gvh,vac,nuc,pox,erl
yeast	3	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	mcg,alm,pox,gvh,mit,nuc,vac,erl
yeast	3	2	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	alm,mit,gvh,nuc,mcg,vac,pox,erl
yeast	3	2	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	alm,pox,mcg,gvh,mit,nuc,erl,vac
yeast	3	2	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	nuc,alm,mit,gvh,mcg,pox,erl,vac
yeast	3	2	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	alm,mcg,gvh,mit,nuc,pox,vac,erl
yeast	3	2	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	alm,mcg,gvh,mit,nuc,pox,erl,vac
yeast	3	2	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	alm,pox,mcg,mit,gvh,nuc,vac,erl
yeast	3	2	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	alm,mit,mcg,nuc,gvh,vac,pox,erl
yeast	3	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	alm,mcg,mit,gvh,nuc,pox,vac,erl
yeast	3	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	mcg,alm,mit,gvh,vac,nuc,pox,erl
yeast	3	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	alm,mcg,pox,gvh,mit,nuc,vac,erl
yeast	3	3	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	alm,mit,gvh,mcg,nuc,vac,pox,erl
yeast	3	3	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	alm,mcg,gvh,mit,nuc,pox,erl,vac
yeast	3	3	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	alm,nuc,mcg,gvh,pox,erl,vac,mit
yeast	3	3	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	alm,mcg,gvh,mit,nuc,vac,pox,erl
yeast	3	3	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	alm,mcg,gvh,mit,nuc,pox,erl,vac
yeast	3	3	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	alm,mcg,gvh,pox,mit,nuc,vac,erl
yeast	3	3	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	alm,mit,mcg,gvh,nuc,vac,pox,erl
yeast	3	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	alm,mcg,gvh,mit,vac,nuc,erl,pox
yeast	3	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	mcg,alm,mit,gvh,vac,nuc,pox,erl
yeast	3	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	gvh,alm,mcg,pox,mit,nuc,vac,erl
yeast	4	1	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	alm,mit,gvh,mcg,nuc,pox,vac,erl
yeast	4	1	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	pox,mcg,gvh,alm,mit,nuc,erl,vac
yeast	4	1	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	mit,alm,nuc,gvh,mcg,pox,vac,erl
yeast	4	1	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	alm,mcg,gvh,mit,pox,nuc,vac,erl
yeast	4	1	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	alm,mcg,gvh,mit,pox,nuc,erl,vac
yeast	4	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	pox,alm,mcg,mit,gvh,nuc,vac,erl
yeast	4	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	alm,mit,mcg,gvh,nuc,pox,vac,erl
yeast	4	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	alm,mcg,gvh,mit,nuc,pox,vac,erl
yeast	4	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	alm,mcg,mit,gvh,vac,nuc,pox,erl
yeast	4	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	alm,mcg,pox,gvh,mit,nuc,vac,erl
yeast	4	2	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	alm,mit,nuc,gvh,mcg,vac,pox,erl
yeast	4	2	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	pox,alm,mcg,gvh,mit,nuc,erl,vac
yeast	4	2	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	alm,gvh,nuc,vac,mcg,mit,pox,erl
yeast	4	2	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	alm,mcg,gvh,mit,nuc,vac,pox,erl
yeast	4	2	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	alm,mcg,gvh,mit,nuc,pox,erl,vac
yeast	4	2	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	pox,alm,mcg,gvh,mit,nuc,vac,erl
yeast	4	2	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	alm,mit,mcg,nuc,gvh,vac,pox,erl
yeast	4	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	alm,mcg,gvh,nuc,mit,vac,erl,pox
yeast	4	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	mcg,alm,mit,gvh,vac,nuc,pox,erl
yeast	4	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	gvh,alm,pox,mcg,nuc,mit,erl,vac
yeast	4	3	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	alm,mit,gvh,mcg,nuc,pox,vac,erl
yeast	4	3	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	mcg,alm,gvh,pox,mit,nuc,erl,vac
yeast	4	3	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	alm,nuc,mit,mcg,pox,erl,vac,gvh
yeast	4	3	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	mcg,alm,gvh,mit,nuc,vac,pox,erl
yeast	4	3	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	alm,mcg,gvh,mit,nuc,pox,erl,vac
yeast	4	3	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	alm,pox,mcg,gvh,mit,nuc,vac,erl
yeast	4	3	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	alm,mit,mcg,nuc,gvh,vac,pox,erl
yeast	4	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	alm,mcg,gvh,mit,nuc,pox,vac,erl
yeast	4	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	mcg,alm,mit,gvh,vac,nuc,pox,erl
yeast	4	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	alm,mcg,pox,gvh,mit,vac,nuc,erl
yeast	5	1	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	alm,mit,nuc,gvh,mcg,pox,vac,erl
yeast	5	1	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	pox,alm,mcg,gvh,mit,nuc,erl,vac
yeast	5	1	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	alm,nuc,gvh,mit,mcg,pox,erl,vac
yeast	5	1	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	mcg,alm,gvh,mit,nuc,pox,vac,erl
yeast	5	1	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	alm,mcg,gvh,mit,nuc,pox,erl,vac
yeast	5	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	alm,pox,mcg,gvh,mit,nuc,vac,erl
yeast	5	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	alm,mit,mcg,gvh,nuc,vac,pox,erl
yeast	5	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	alm,mcg,gvh,mit,nuc,vac,pox,erl
yeast	5	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	mcg,alm,mit,gvh,vac,nuc,pox,erl
yeast	5	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	mcg,pox,alm,gvh,mit,nuc,vac,erl
yeast	5	2	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	alm,mit,nuc,gvh,mcg,pox,vac,erl
yeast	5	2	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	pox,alm,mcg,gvh,mit,nuc,erl,vac
yeast	5	2	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	nuc,mit,alm,gvh,pox,mcg,erl,vac
yeast	5	2	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	alm,mcg,gvh,mit,pox,nuc,vac,erl
yeast	5	2	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	alm,mcg,gvh,mit,nuc,pox,erl,vac
