Feature_Selection_Algorithm	Feature	Mean_Rank
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	alm	1.0
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	mit	2.1
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	nuc	3.7
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	gvh	3.8
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	mcg	4.5
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	pox	6.5
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	vac	6.6
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	erl	7.9
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	alm	1.9
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	pox	2.1
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	mcg	2.6
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	gvh	3.9
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	mit	4.7
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	nuc	5.9
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	erl	7.0
/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	vac	8.0
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	alm	1.5
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	nuc	1.8
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	mit	3.7
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	gvh	4.5
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	mcg	4.9
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	pox	5.9
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	vac	6.5
/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	erl	7.1
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	alm	1.3
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	mcg	1.7
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	gvh	3.0
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	mit	4.1
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	nuc	5.2
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	pox	6.3
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	vac	6.4
/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	erl	8.0
/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	alm	1.0
