Description	Iteration	Algorithm	Features
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	pox,alm,mcg,gvh,mit
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	alm,mcg,gvh,mit,nuc,pox,vac,erl
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	alm,mit,mcg,nuc,gvh,vac,pox,erl
yeast	1	/AlgorithmScripts/Classification/tsv/keras/dnn	mcg,alm,mit,gvh,vac,nuc,pox,erl
yeast	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	mcg,alm,mit,gvh,vac,nuc,pox,erl
yeast	1	/AlgorithmScripts/Classification/tsv/mlr/mlp	alm,mcg,gvh,nuc,mit
yeast	1	/AlgorithmScripts/Classification/tsv/mlr/xgboost	alm,gvh,nuc,mcg,mit,pox,erl,vac
yeast	1	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	alm,gvh,nuc,mcg,mit,pox,erl,vac
yeast	1	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	alm,mcg,gvh,mit,nuc,pox,vac,erl
yeast	1	/AlgorithmScripts/Classification/tsv/sklearn/svm	pox,alm,mcg,gvh,mit,nuc,erl,vac
yeast	2	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	alm,mit,gvh,nuc,pox
yeast	2	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	alm,mit,gvh,nuc,mcg
yeast	2	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	alm,mit,gvh,nuc,mcg
yeast	2	/AlgorithmScripts/Classification/tsv/keras/dnn	alm,mit,gvh,nuc,pox,mcg,erl,vac
yeast	2	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	alm,mcg,gvh,mit,nuc,pox,vac,erl
yeast	2	/AlgorithmScripts/Classification/tsv/mlr/mlp	alm,mcg,gvh,mit,nuc,vac,pox,erl
yeast	2	/AlgorithmScripts/Classification/tsv/mlr/xgboost	alm,mit,mcg,gvh,nuc
yeast	2	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	alm,mit,gvh,nuc,pox,mcg,erl,vac
yeast	2	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	alm,mcg,gvh,mit,nuc,pox,erl,vac
yeast	2	/AlgorithmScripts/Classification/tsv/sklearn/svm	alm,mcg,gvh,mit,nuc,pox,vac,erl
yeast	3	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	alm,mit,mcg,nuc,gvh,vac,pox,erl
yeast	3	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	alm,mcg,pox,gvh,mit,nuc,vac,erl
yeast	3	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	alm,nuc,gvh,mit,mcg,pox,vac,erl
yeast	3	/AlgorithmScripts/Classification/tsv/keras/dnn	mcg,alm,mit,gvh,vac,nuc,pox,erl
yeast	3	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	alm,mcg,gvh,mit,nuc,pox,vac,erl
yeast	3	/AlgorithmScripts/Classification/tsv/mlr/mlp	alm,mit,nuc,gvh,mcg,pox,vac,erl
yeast	3	/AlgorithmScripts/Classification/tsv/mlr/xgboost	mcg,alm,mit
yeast	3	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	alm,mcg,pox,gvh,mit
yeast	3	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	alm,mcg,pox,gvh,mit,nuc,vac,erl
yeast	3	/AlgorithmScripts/Classification/tsv/sklearn/svm	alm,mit,mcg,nuc,gvh,vac,pox,erl
yeast	4	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	pox,alm,mcg,gvh,mit
yeast	4	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	alm,mit,mcg,nuc,gvh
yeast	4	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	alm,mcg,gvh,mit,vac,nuc,erl,pox
yeast	4	/AlgorithmScripts/Classification/tsv/keras/dnn	mcg,alm,pox,gvh,mit,nuc,vac,erl
yeast	4	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	alm,nuc,gvh,mit,vac,pox,mcg,erl
yeast	4	/AlgorithmScripts/Classification/tsv/mlr/mlp	mcg,alm,pox,gvh,mit,nuc,vac,erl
yeast	4	/AlgorithmScripts/Classification/tsv/mlr/xgboost	alm,nuc,gvh,mit,vac
yeast	4	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	alm,mit,gvh,mcg,nuc,pox,vac,erl
yeast	4	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	pox,alm,mcg,gvh,mit,nuc,vac,erl
yeast	4	/AlgorithmScripts/Classification/tsv/sklearn/svm	alm,nuc,gvh,mit,vac,pox,mcg,erl
yeast	5	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	pox,alm,mcg,gvh,mit
yeast	5	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	mcg,pox,alm,gvh,nuc,mit,vac,erl
yeast	5	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	alm,mit,mcg,gvh,nuc,vac,pox,erl
yeast	5	/AlgorithmScripts/Classification/tsv/keras/dnn	alm,mit,nuc,gvh,mcg,pox,vac,erl
yeast	5	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	alm,mcg,gvh,mit,nuc,pox,erl,vac
yeast	5	/AlgorithmScripts/Classification/tsv/mlr/mlp	alm,mit,nuc,gvh,mcg
yeast	5	/AlgorithmScripts/Classification/tsv/mlr/xgboost	mcg,alm,mit,gvh,vac,nuc,pox,erl
yeast	5	/AlgorithmScripts/Classification/tsv/sklearn/decision_tree	pox,alm,mcg,gvh,mit
yeast	5	/AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	alm,mcg,gvh,mit,nuc,pox,vac,erl
yeast	5	/AlgorithmScripts/Classification/tsv/sklearn/svm	mcg,pox,alm,gvh,nuc,mit,vac,erl
