Description	Iteration	Algorithm	Metric	Value
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	AUROC	0.981990423011168
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Accuracy	0.972514373860609
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	BalancedAccuracy	0.914810119253528
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Brier	0.0182369298836068
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	F1	0.796621368692224
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FDR	0.197285666997683
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FNR	0.155919026328862
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FPR	0.0144607351640817
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MCC	0.750532380291246
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MMCE	0.0274856261393914
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	NPV	0.89908098346444
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	PPV	0.802714333002317
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Recall	0.844080973671138
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TNR	0.985539264835918
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TPR	0.844080973671138
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	AUROC	0.998390700603579
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Accuracy	0.991305567241621
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	BalancedAccuracy	0.953157264104927
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Brier	0.0073729607348198
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	F1	0.928353246961904
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FDR	0.0721832836867005
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FNR	0.0700347739692002
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FPR	0.0236506978209456
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MCC	0.901050172760287
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MMCE	0.00869443275837891
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	NPV	0.968510595691784
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	PPV	0.927816716313299
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Recall	0.9299652260308
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TNR	0.976349302179054
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TPR	0.9299652260308
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	AUROC	0.988473162074783
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Accuracy	0.967185527976441
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	BalancedAccuracy	0.747547417983667
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Brier	0.0231518806618988
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	F1	0.725090783995454
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FDR	0.152892296781916
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FNR	0.317573273720815
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FPR	0.187331890311852
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	MCC	0.60937817438177
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	MMCE	0.0328144720235591
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	NPV	0.932240728792765
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	PPV	0.847107703218084
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Recall	0.682426726279185
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	TNR	0.812668109688148
ann-thyroid	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	TPR	0.682426726279185
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/keras/dnn	AUROC	0.995940948207186
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/keras/dnn	Accuracy	0.979526013181882
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/keras/dnn	BalancedAccuracy	0.851219874593389
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/keras/dnn	Brier	0.0123691508175829
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/keras/dnn	F1	0.829521204927077
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/keras/dnn	FDR	0.117695788718811
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/keras/dnn	FNR	0.212163437655241
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/keras/dnn	FPR	0.0853968131579804
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/keras/dnn	MCC	0.766176303828386
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/keras/dnn	MMCE	0.0204739868181181
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/keras/dnn	NPV	0.95431364580955
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/keras/dnn	PPV	0.882304211281189
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/keras/dnn	Recall	0.787836562344759
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/keras/dnn	TNR	0.91460318684202
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/keras/dnn	TPR	0.787836562344759
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	AUROC	0.999626304545254
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	Accuracy	0.959332491936615
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	BalancedAccuracy	0.602138781535836
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	Brier	0.024949078212946
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	F1	0.553099044697657
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	FDR	0.0206112295664534
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	FNR	0.522652757078987
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	FPR	0.273069679849341
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	MCC	0.435304772227136
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	MMCE	0.0406675080633852
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	NPV	0.979532570788903
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	PPV	0.979388770433547
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	Recall	0.477347242921013
ann-thyroid	1	/AlgorithmScripts/Classification/tsv/mlr/h2o.randomForest	TNR	0.726930320150659
