Description	Iteration	Algorithm	Metric	Value
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	AUROC	0.727997941327844
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Accuracy	0.40625
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	BalancedAccuracy	0.535512094698919
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Brier	0.441066197916667
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	F1	0.329411764705882
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FDR	0.222222222222222
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FNR	0.791044776119403
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FPR	0.137931034482759
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MCC	0.0835524390369204
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MMCE	0.59375
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	NPV	0.320512820512821
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	PPV	0.777777777777778
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Recall	0.208955223880597
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TNR	0.862068965517241
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TPR	0.208955223880597
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	AUROC	0.683993823983531
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Accuracy	0.729166666666667
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	BalancedAccuracy	0.63973237261966
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Brier	0.18606478125
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	F1	0.816901408450704
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FDR	0.226666666666667
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FNR	0.134328358208955
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FPR	0.586206896551724
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MCC	0.310401027515227
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MMCE	0.270833333333333
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	NPV	0.571428571428571
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	PPV	0.773333333333333
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Recall	0.865671641791045
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TNR	0.413793103448276
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TPR	0.865671641791045
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	AUROC	0.665465774575399
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Accuracy	0.75
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	BalancedAccuracy	0.67421513124035
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Brier	0.19457553125
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	F1	0.828571428571429
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FDR	0.205479452054795
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FNR	0.134328358208955
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FPR	0.517241379310345
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	MCC	0.374823593766421
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	MMCE	0.25
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	NPV	0.608695652173913
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	PPV	0.794520547945205
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Recall	0.865671641791045
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	TNR	0.482758620689655
breast-cancer	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	TPR	0.865671641791045
breast-cancer	1	/AlgorithmScripts/Classification/tsv/keras/dnn	AUROC	0.692228512609367
breast-cancer	1	/AlgorithmScripts/Classification/tsv/keras/dnn	Accuracy	0.697916666666667
breast-cancer	1	/AlgorithmScripts/Classification/tsv/keras/dnn	BalancedAccuracy	0.5
breast-cancer	1	/AlgorithmScripts/Classification/tsv/keras/dnn	Brier	0.198905223178849
breast-cancer	1	/AlgorithmScripts/Classification/tsv/keras/dnn	F1	0.822085889570552
breast-cancer	1	/AlgorithmScripts/Classification/tsv/keras/dnn	FDR	0.302083333333333
