Description	Iteration	Algorithm	Metric	Value
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	AUROC	0.953831805385764
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Accuracy	0.975806451612903
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	BalancedAccuracy	0.954535664947312
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Brier	0.0246252150537634
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	F1	0.902978272390037
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FDR	0.102648944193062
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FNR	0.07703081232493
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FPR	0.0138978577804456
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MCC	0.8934594263558
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MMCE	0.0241935483870968
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	NPV	0.986067843544479
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	PPV	0.897351055806938
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Recall	0.92296918767507
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TNR	0.986102142219554
dermatology	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TPR	0.92296918767507
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	AUROC	0.992309648052428
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Accuracy	0.991935483870968
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	BalancedAccuracy	0.983830885286395
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Brier	0.00660784946236559
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	F1	0.973220577871741
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FDR	0.0255681818181818
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FNR	0.0275443510737628
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FPR	0.00479387835344645
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MCC	0.968611644826427
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MMCE	0.00806451612903226
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	NPV	0.995279593318809
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	PPV	0.974431818181818
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Recall	0.972455648926237
dermatology	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TNR	0.995206121646554
