Description	Iteration	Algorithm	Metric	Value
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	AUROC	0.814776983316308
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Accuracy	0.759842519685039
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	BalancedAccuracy	0.727170582226762
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Brier	0.17176987007874
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	F1	0.818991097922849
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FDR	0.197674418604651
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FNR	0.163636363636364
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FPR	0.382022471910112
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MCC	0.463604787946402
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MMCE	0.240157480314961
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	NPV	0.670731707317073
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	PPV	0.802325581395349
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Recall	0.836363636363636
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TNR	0.617977528089888
diabetes	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TPR	0.836363636363636
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	AUROC	0.836159346271705
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Accuracy	0.775590551181102
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	BalancedAccuracy	0.739291794347974
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Brier	0.154247751968504
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	F1	0.832844574780058
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FDR	0.193181818181818
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FNR	0.139393939393939
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FPR	0.382022471910112
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MCC	0.494983978614183
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MMCE	0.224409448818898
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	NPV	0.705128205128205
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	PPV	0.806818181818182
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Recall	0.860606060606061
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TNR	0.617977528089888
diabetes	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TPR	0.860606060606061
diabetes	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	AUROC	0.838678924072182
