Description	Iteration	Algorithm	Metric	Value
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	AUROC	0.751662971175166
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Accuracy	0.538461538461538
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	BalancedAccuracy	0.64079822616408
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Brier	0.389035826923077
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	F1	0.428571428571429
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FDR	0.709677419354839
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FNR	0.181818181818182
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FPR	0.536585365853659
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MCC	0.234382377739655
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MMCE	0.461538461538462
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	NPV	0.904761904761905
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	PPV	0.290322580645161
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Recall	0.818181818181818
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TNR	0.463414634146341
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TPR	0.818181818181818
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	AUROC	0.782705099778271
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Accuracy	0.788461538461538
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	BalancedAccuracy	0.566518847006652
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Brier	0.133530153846154
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	F1	0.266666666666667
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FDR	0.5
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FNR	0.818181818181818
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FPR	0.0487804878048781
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MCC	0.203897717935139
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MMCE	0.211538461538462
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	NPV	0.8125
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	PPV	0.5
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Recall	0.181818181818182
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TNR	0.951219512195122
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TPR	0.181818181818182
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	AUROC	0.759423503325942
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Accuracy	0.807692307692308
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	BalancedAccuracy	0.645232815964523
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Brier	0.149185576923077
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	F1	0.444444444444444
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FDR	0.428571428571429
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FNR	0.636363636363636
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FPR	0.0731707317073171
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	MCC	0.347558366836124
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	MMCE	0.192307692307692
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	NPV	0.844444444444444
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	PPV	0.571428571428571
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Recall	0.363636363636364
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	TNR	0.926829268292683
hepatitis	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	TPR	0.363636363636364
hepatitis	1	/AlgorithmScripts/Classification/tsv/keras/dnn	AUROC	0.773835920177384
hepatitis	1	/AlgorithmScripts/Classification/tsv/keras/dnn	Accuracy	0.788461538461538
