Description	Iteration	Algorithm	Metric	Value
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	AUROC	0.991926182237601
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Accuracy	0.973856209150327
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	BalancedAccuracy	0.970588235294118
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Brier	0.029123137254902
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	F1	0.96078431372549
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FDR	0.0392156862745098
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FNR	0.0392156862745098
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FPR	0.0196078431372549
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MCC	0.941176470588235
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MMCE	0.0261437908496732
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	NPV	0.980392156862745
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	PPV	0.96078431372549
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Recall	0.96078431372549
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TNR	0.980392156862745
iris	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TPR	0.96078431372549
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	AUROC	0.993656286043829
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Accuracy	0.973856209150327
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	BalancedAccuracy	0.970588235294118
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Brier	0.0272509281045752
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	F1	0.960648148148148
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FDR	0.0350877192982456
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FNR	0.0392156862745098
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FPR	0.0196078431372549
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MCC	0.943511288219175
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MMCE	0.0261437908496732
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	NPV	0.981481481481482
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	PPV	0.964912280701754
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Recall	0.96078431372549
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TNR	0.980392156862745
iris	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TPR	0.96078431372549
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	AUROC	0.994232987312572
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Accuracy	0.96078431372549
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	BalancedAccuracy	0.955882352941177
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Brier	0.0223676339869281
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	F1	0.941125541125541
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FDR	0.0578703703703704
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FNR	0.0588235294117647
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FPR	0.0294117647058824
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	MCC	0.912309673848641
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	MMCE	0.0392156862745098
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	NPV	0.970851370851371
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	PPV	0.94212962962963
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Recall	0.941176470588235
iris	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	TNR	0.970588235294118
