Description	Iteration	Algorithm	Metric	Value
molecular-biology_promoters	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	AUROC	0.925925925925926
molecular-biology_promoters	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Accuracy	0.888888888888889
molecular-biology_promoters	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	BalancedAccuracy	0.888888888888889
molecular-biology_promoters	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Brier	0.0981162222222222
molecular-biology_promoters	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	F1	0.882352941176471
molecular-biology_promoters	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FDR	0.0625
molecular-biology_promoters	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FNR	0.166666666666667
molecular-biology_promoters	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FPR	0.0555555555555556
molecular-biology_promoters	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MCC	0.782623792124926
molecular-biology_promoters	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MMCE	0.111111111111111
molecular-biology_promoters	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	NPV	0.85
molecular-biology_promoters	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	PPV	0.9375
molecular-biology_promoters	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Recall	0.833333333333333
molecular-biology_promoters	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TNR	0.944444444444444
molecular-biology_promoters	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TPR	0.833333333333333
molecular-biology_promoters	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	AUROC	0.984567901234568
molecular-biology_promoters	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Accuracy	0.916666666666667
molecular-biology_promoters	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	BalancedAccuracy	0.916666666666667
molecular-biology_promoters	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Brier	0.0986977222222222
molecular-biology_promoters	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	F1	0.918918918918919
molecular-biology_promoters	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FDR	0.105263157894737
