Description	Iteration	Algorithm	Metric	Value
null	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	AUROC	0.461019163763066
null	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Accuracy	0.493975903614458
null	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	BalancedAccuracy	0.493321718931475
null	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Brier	0.374020006024096
null	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	F1	0.522727272727273
null	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FDR	0.5
null	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FNR	0.452380952380952
null	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FPR	0.560975609756098
null	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MCC	-0.0134348086303121
null	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MMCE	0.506024096385542
null	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	NPV	0.486486486486487
null	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	PPV	0.5
null	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Recall	0.547619047619048
null	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TNR	0.439024390243902
null	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TPR	0.547619047619048
null	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	AUROC	0.429006968641115
null	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Accuracy	0.469879518072289
null	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	BalancedAccuracy	0.46965737514518
null	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Brier	0.280631439759036
null	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	F1	0.482352941176471
null	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FDR	0.523255813953488
null	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FNR	0.511904761904762
null	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FPR	0.548780487804878
null	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MCC	-0.0607205215810921
null	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MMCE	0.530120481927711
null	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	NPV	0.4625
null	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	PPV	0.476744186046512
null	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Recall	0.488095238095238
null	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TNR	0.451219512195122
null	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TPR	0.488095238095238
