Description	Iteration	Algorithm	Metric	Value
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	AUROC	0.832415645720424
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Accuracy	0.875537451912197
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	BalancedAccuracy	0.685474555574708
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Brier	0.0856378771215207
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	F1	NA
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FDR	0.544422788037089
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FNR	0.553935498734357
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	FPR	0.0751153901162264
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MCC	0.361284040465056
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	MMCE	0.124462548087803
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	NPV	0.929408038444138
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	PPV	0.455577211962911
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	Recall	0.446064501265643
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TNR	0.924884609883774
yeast	1	/AlgorithmScripts/Classification/arff/weka/HoeffdingTree	TPR	0.446064501265643
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	AUROC	0.782055472928885
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Accuracy	0.906313645621181
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	BalancedAccuracy	0.682924671168458
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Brier	0.0659321330617787
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	F1	NA
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FDR	NA
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FNR	0.57148455162509
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	FPR	0.062666106037995
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MCC	0.398842397076973
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	MMCE	0.0936863543788187
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	NPV	0.938270179315084
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	PPV	NA
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	Recall	0.42851544837491
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TNR	0.937333893962005
yeast	1	/AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron	TPR	0.42851544837491
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	AUROC	0.845479962908184
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Accuracy	0.909934374292826
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	BalancedAccuracy	0.706344859501954
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Brier	0.0606537906766237
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	F1	NA
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FDR	NA
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FNR	0.526115687102523
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	FPR	0.0611945938935688
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	MCC	0.445931872705636
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	MMCE	0.0900656257071736
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	NPV	0.941065979395148
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	PPV	NA
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	Recall	0.473884312897477
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	TNR	0.938805406106431
yeast	1	/AlgorithmScripts/Classification/arff/weka/SimpleLogistic	TPR	0.473884312897477
