Feature_Selection_Algorithm	Feature	Mean_Rank
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-35_3	1.7
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-36_3	1.8
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-34_2	3.4
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-12_2	8.4
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-33_2	10.3
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-32_1	12.2
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-31_1	16.8
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-35_1	17.5
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-37_3	17.6
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-12_1	21.0
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-2_3	29.4
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-12_3	30.5
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-45_2	31.7
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-21_1	34.8
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-49_1	35.1
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-2_1	37.4
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-36_1	37.7
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-32_3	38.3
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-10_3	39.5
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-40_1	40.1
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-49_2	40.9
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-5_1	43.3
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-42_3	44.7
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-11_2	47.1
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-43_1	48.1
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-19_3	49.0
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-19_2	49.8
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-43_3	50.7
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-13_3	52.2
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-24_1	52.4
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p5_1	53.5
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p1_1	54.1
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-32_2	54.2
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-46_2	54.3
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-25_3	56.0
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-35_2	56.3
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-9_1	57.9
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-37_1	58.3
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-34_3	59.2
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-3_3	59.5
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-13_1	61.8
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-30_2	62.5
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-13_2	64.4
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-20_3	65.0
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-44_3	67.3
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-42_2	68.6
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-9_3	69.6
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p-41_2	69.9
/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	p3_3	69.9
